
  0%|▎                                                                                 | 368/100000 [00:01<06:02, 274.50it/s]
epoch 3400  training loss: 0.14648447930812836

  4%|███▏                                                                             | 3932/100000 [00:15<06:30, 245.80it/s]
epoch 3500  training loss: 0.14565521478652954
epoch 3500  clean testing loss: 0.06577643007040024
epoch 3600  training loss: 0.1448771059513092
epoch 3600  clean testing loss: 0.06500135362148285
epoch 3700  training loss: 0.1441301554441452
epoch 3700  clean testing loss: 0.06431298702955246
epoch 3800  training loss: 0.14340625703334808
epoch 3800  clean testing loss: 0.06362958252429962
epoch 3900  training loss: 0.14270371198654175

  4%|███▌                                                                             | 4436/100000 [00:17<06:40, 238.48it/s]
epoch 4000  training loss: 0.1420220136642456
epoch 4000  clean testing loss: 0.062339428812265396
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 4100  training loss: 0.1413639932870865
epoch 4100  clean testing loss: 0.0616866871714592
epoch 4200  training loss: 0.14071454107761383
epoch 4200  clean testing loss: 0.0611189529299736
epoch 4300  training loss: 0.1400890052318573
epoch 4300  clean testing loss: 0.06049690395593643
epoch 4400  training loss: 0.13948261737823486

  5%|███▉                                                                             | 4918/100000 [00:19<06:32, 242.24it/s]
epoch 4500  training loss: 0.1388985961675644
epoch 4500  clean testing loss: 0.05939032882452011
epoch 4600  training loss: 0.13833169639110565
epoch 4600  clean testing loss: 0.05891028046607971
epoch 4700  training loss: 0.13778267800807953
epoch 4700  clean testing loss: 0.05848783254623413
epoch 4800  training loss: 0.13720464706420898
epoch 4800  clean testing loss: 0.0579756461083889
epoch 4900  training loss: 0.13662803173065186

  5%|████▎                                                                            | 5400/100000 [00:21<06:34, 239.68it/s]
epoch 5000  training loss: 0.13610853254795074
epoch 5000  clean testing loss: 0.05698605999350548
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 5100  training loss: 0.1356135606765747
epoch 5100  clean testing loss: 0.056575167924165726
epoch 5200  training loss: 0.1351313292980194
epoch 5200  clean testing loss: 0.0561678484082222
epoch 5300  training loss: 0.1346469670534134
epoch 5300  clean testing loss: 0.055828869342803955
epoch 5400  training loss: 0.13419510424137115

  6%|████▊                                                                            | 5880/100000 [00:23<06:33, 239.06it/s]
epoch 5500  training loss: 0.13376939296722412
epoch 5500  clean testing loss: 0.05513225495815277
epoch 5600  training loss: 0.13334064185619354
epoch 5600  clean testing loss: 0.054815735667943954
epoch 5700  training loss: 0.13288380205631256
epoch 5700  clean testing loss: 0.05450465902686119
epoch 5800  training loss: 0.13248154520988464
epoch 5800  clean testing loss: 0.054219163954257965
epoch 5900  training loss: 0.13209670782089233

  6%|█████▏                                                                           | 6384/100000 [00:25<06:29, 240.15it/s]
epoch 6000  training loss: 0.1316973716020584
epoch 6000  clean testing loss: 0.05366651713848114
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 6100  training loss: 0.13139371573925018
epoch 6100  clean testing loss: 0.05343176797032356
epoch 6200  training loss: 0.1310964971780777
epoch 6200  clean testing loss: 0.05321318283677101
epoch 6300  training loss: 0.13079901039600372
epoch 6300  clean testing loss: 0.05298362299799919
epoch 6400  training loss: 0.13049814105033875

  7%|█████▌                                                                           | 6867/100000 [00:27<06:17, 246.98it/s]
epoch 6500  training loss: 0.1301589161157608
epoch 6500  clean testing loss: 0.05250206217169762
epoch 6600  training loss: 0.1298508495092392
epoch 6600  clean testing loss: 0.05228982865810394
epoch 6700  training loss: 0.12954497337341309
epoch 6700  clean testing loss: 0.052100419998168945
epoch 6800  training loss: 0.12923483550548553
  7%|█████▊                                                                           | 7195/100000 [00:28<06:26, 240.26it/s][34m[1mwandb[39m[22m: 429 encountered (Filestream rate limit exceeded, retrying in 2.1 seconds.), retrying request
  7%|█████▉                                                                           | 7347/100000 [00:29<06:22, 242.44it/s]
epoch 6900  training loss: 0.12893815338611603
epoch 6900  clean testing loss: 0.051656324416399
epoch 7000  training loss: 0.12864935398101807
epoch 7000  clean testing loss: 0.05147711560130119
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 7100  training loss: 0.12836964428424835
epoch 7100  clean testing loss: 0.05132037401199341
epoch 7200  training loss: 0.12810011208057404
epoch 7200  clean testing loss: 0.05111062154173851
epoch 7300  training loss: 0.12783604860305786

  8%|██████▎                                                                          | 7848/100000 [00:31<06:20, 242.35it/s]
epoch 7400  training loss: 0.1275685429573059
epoch 7400  clean testing loss: 0.05076609551906586
epoch 7500  training loss: 0.12730859220027924
epoch 7500  clean testing loss: 0.05059460550546646
epoch 7600  training loss: 0.12703706324100494
epoch 7600  clean testing loss: 0.050499022006988525
epoch 7700  training loss: 0.12675997614860535
epoch 7700  clean testing loss: 0.05031076818704605
epoch 7800  training loss: 0.12650570273399353

  8%|██████▋                                                                          | 8331/100000 [00:33<06:18, 242.05it/s]
epoch 7900  training loss: 0.12625597417354584
epoch 7900  clean testing loss: 0.0499965064227581
epoch 8000  training loss: 0.12598916888237
epoch 8000  clean testing loss: 0.04982006177306175
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 8100  training loss: 0.1257186383008957
epoch 8100  clean testing loss: 0.049623191356658936
epoch 8200  training loss: 0.12543326616287231
epoch 8200  clean testing loss: 0.04939056187868118
epoch 8300  training loss: 0.1251559555530548

  9%|███████                                                                          | 8684/100000 [00:35<06:18, 241.47it/s]
epoch 8400  training loss: 0.12485694140195847
epoch 8400  clean testing loss: 0.049026813358068466
epoch 8500  training loss: 0.12462601065635681
epoch 8500  clean testing loss: 0.04892980679869652
epoch 8600  training loss: 0.12440301477909088
epoch 8600  clean testing loss: 0.04874660074710846
epoch 8700  training loss: 0.12418042868375778

  9%|███████▏                                                                         | 8887/100000 [00:35<06:20, 239.64it/s]
epoch 8800  training loss: 0.12394438683986664
epoch 8800  clean testing loss: 0.04844212904572487
epoch 8900  training loss: 0.12371771037578583

 10%|███████▉                                                                         | 9781/100000 [00:39<06:12, 242.15it/s]
epoch 9000  training loss: 0.12350261211395264
epoch 9000  clean testing loss: 0.04814237356185913
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 9100  training loss: 0.12333131581544876
epoch 9100  clean testing loss: 0.04805004596710205
epoch 9200  training loss: 0.12316004186868668
epoch 9200  clean testing loss: 0.047970522195100784
epoch 9300  training loss: 0.12299223989248276
epoch 9300  clean testing loss: 0.047877904027700424
epoch 9400  training loss: 0.12282444536685944
epoch 9400  clean testing loss: 0.04775339737534523
epoch 9500  training loss: 0.12265846878290176
epoch 9500  clean testing loss: 0.04767488315701485
epoch 9600  training loss: 0.12249363958835602
epoch 9600  clean testing loss: 0.04755336046218872
epoch 9700  training loss: 0.12232832610607147
epoch 9700  clean testing loss: 0.04744594171643257
epoch 9800  training loss: 0.12215948849916458

 10%|████████▏                                                                       | 10265/100000 [00:41<06:06, 245.06it/s]
epoch 9900  training loss: 0.12196005135774612
epoch 9900  clean testing loss: 0.047294799238443375
epoch 10000  training loss: 0.12178117781877518
epoch 10000  clean testing loss: 0.047176532447338104
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 10100  training loss: 0.12160918116569519
epoch 10100  clean testing loss: 0.047135330736637115
epoch 10200  training loss: 0.1214471384882927
epoch 10200  clean testing loss: 0.04706604406237602
epoch 10300  training loss: 0.12127579748630524

 11%|████████▌                                                                       | 10769/100000 [00:43<06:09, 241.78it/s]
epoch 10400  training loss: 0.12110760807991028
epoch 10400  clean testing loss: 0.04683826118707657
epoch 10500  training loss: 0.12094224244356155
epoch 10500  clean testing loss: 0.046755168586969376
epoch 10600  training loss: 0.12077930569648743
epoch 10600  clean testing loss: 0.04659530147910118
epoch 10700  training loss: 0.12061247229576111

 11%|████████▉                                                                       | 11249/100000 [00:45<06:05, 242.95it/s]
epoch 10800  training loss: 0.12044527381658554
epoch 10800  clean testing loss: 0.046439558267593384
epoch 10900  training loss: 0.12026334553956985
epoch 10900  clean testing loss: 0.04633264243602753
epoch 11000  training loss: 0.12009003013372421
epoch 11000  clean testing loss: 0.046262141317129135
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 11100  training loss: 0.11992313712835312
epoch 11100  clean testing loss: 0.04609338566660881
epoch 11200  training loss: 0.11975940316915512

 12%|█████████▎                                                                      | 11682/100000 [00:47<06:03, 243.20it/s]
epoch 11300  training loss: 0.11959968507289886
epoch 11300  clean testing loss: 0.04597214236855507
epoch 11400  training loss: 0.11943887919187546
epoch 11400  clean testing loss: 0.04585319012403488
epoch 11500  training loss: 0.1192803680896759
epoch 11500  clean testing loss: 0.04581549018621445
epoch 11600  training loss: 0.11912050098180771
epoch 11600  clean testing loss: 0.04570348560810089
epoch 11700  training loss: 0.11896234005689621

 12%|█████████▊                                                                      | 12212/100000 [00:49<06:02, 242.09it/s]
epoch 11800  training loss: 0.11881480365991592
epoch 11800  clean testing loss: 0.045573487877845764
epoch 11900  training loss: 0.11866186559200287
epoch 11900  clean testing loss: 0.04549374803900719
epoch 12000  training loss: 0.11851213127374649
epoch 12000  clean testing loss: 0.045393723994493484
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 12100  training loss: 0.11838404089212418
epoch 12100  clean testing loss: 0.04528215527534485
epoch 12200  training loss: 0.11826106160879135

 13%|██████████▏                                                                     | 12717/100000 [00:51<06:01, 241.76it/s]
epoch 12300  training loss: 0.11813794076442719
epoch 12300  clean testing loss: 0.045226845890283585
epoch 12400  training loss: 0.11801468580961227
epoch 12400  clean testing loss: 0.04517010226845741
epoch 12500  training loss: 0.11789041757583618
epoch 12500  clean testing loss: 0.0450676791369915
epoch 12600  training loss: 0.1177687793970108
epoch 12600  clean testing loss: 0.04504261910915375
epoch 12700  training loss: 0.11764836311340332

 13%|██████████▌                                                                     | 13193/100000 [00:53<05:59, 241.41it/s]
epoch 12800  training loss: 0.11752217262983322
epoch 12800  clean testing loss: 0.044897858053445816
epoch 12900  training loss: 0.11739633977413177
epoch 12900  clean testing loss: 0.04483986645936966
epoch 13000  training loss: 0.11727266758680344
epoch 13000  clean testing loss: 0.04475804418325424
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 13100  training loss: 0.11715038120746613
epoch 13100  clean testing loss: 0.044753167778253555
epoch 13200  training loss: 0.11702986806631088

 14%|██████████▉                                                                     | 13669/100000 [00:55<06:01, 238.66it/s]
epoch 13300  training loss: 0.11690593510866165
epoch 13300  clean testing loss: 0.04462311044335365
epoch 13400  training loss: 0.11678247898817062
epoch 13400  clean testing loss: 0.04452165588736534
epoch 13500  training loss: 0.11665622144937515
epoch 13500  clean testing loss: 0.044539447873830795
epoch 13600  training loss: 0.11653359979391098

 14%|███████████▎                                                                    | 14149/100000 [00:57<05:50, 245.00it/s]
epoch 13700  training loss: 0.11640802770853043
epoch 13700  clean testing loss: 0.04441205784678459
epoch 13800  training loss: 0.11628587543964386
epoch 13800  clean testing loss: 0.044417306780815125
epoch 13900  training loss: 0.11616089195013046
epoch 13900  clean testing loss: 0.04437414929270744
epoch 14000  training loss: 0.11603830754756927
epoch 14000  clean testing loss: 0.04423177242279053
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 14100  training loss: 0.11591002345085144

 15%|███████████▋                                                                    | 14657/100000 [00:59<05:48, 245.15it/s]
epoch 14200  training loss: 0.1157861053943634
epoch 14200  clean testing loss: 0.0442127026617527
epoch 14300  training loss: 0.11566068232059479
epoch 14300  clean testing loss: 0.044124964624643326
epoch 14400  training loss: 0.11553927510976791
epoch 14400  clean testing loss: 0.04412992298603058
epoch 14500  training loss: 0.11541233211755753
epoch 14500  clean testing loss: 0.044017840176820755
epoch 14600  training loss: 0.1152895912528038

 15%|████████████                                                                    | 15131/100000 [01:01<05:53, 240.02it/s]
epoch 14700  training loss: 0.11516600847244263
epoch 14700  clean testing loss: 0.04397168010473251
epoch 14800  training loss: 0.11504463851451874
epoch 14800  clean testing loss: 0.04383626580238342
epoch 14900  training loss: 0.11492620408535004
epoch 14900  clean testing loss: 0.04381486400961876
epoch 15000  training loss: 0.11481265723705292
epoch 15000  clean testing loss: 0.04379059746861458
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 15100  training loss: 0.1147184744477272

 16%|████████████▍                                                                   | 15609/100000 [01:03<05:51, 240.28it/s]
epoch 15200  training loss: 0.11462604254484177
epoch 15200  clean testing loss: 0.04368521645665169
epoch 15300  training loss: 0.11453310400247574
epoch 15300  clean testing loss: 0.04364548251032829
epoch 15400  training loss: 0.11443763226270676
epoch 15400  clean testing loss: 0.043602973222732544
epoch 15500  training loss: 0.11434196680784225
epoch 15500  clean testing loss: 0.043574102222919464
epoch 15600  training loss: 0.11424300074577332

 16%|████████████▊                                                                   | 16092/100000 [01:05<05:43, 244.46it/s]
epoch 15700  training loss: 0.1141461730003357
epoch 15700  clean testing loss: 0.04347879812121391
epoch 15800  training loss: 0.11405449360609055
epoch 15800  clean testing loss: 0.04350825026631355
epoch 15900  training loss: 0.1139582097530365
epoch 15900  clean testing loss: 0.043429818004369736
epoch 16000  training loss: 0.11386372148990631
epoch 16000  clean testing loss: 0.0433720164000988
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 16100  training loss: 0.11377087980508804

 16%|█████████████▏                                                                  | 16493/100000 [01:07<05:44, 242.19it/s]
epoch 16200  training loss: 0.11367841064929962
epoch 16200  clean testing loss: 0.04332482069730759
epoch 16300  training loss: 0.11358670145273209
epoch 16300  clean testing loss: 0.043305739760398865
epoch 16400  training loss: 0.11348923295736313
epoch 16400  clean testing loss: 0.04323575645685196
epoch 16500  training loss: 0.11339180171489716

 17%|█████████████▋                                                                  | 17078/100000 [01:09<05:44, 240.53it/s]
epoch 16600  training loss: 0.11329297721385956
epoch 16600  clean testing loss: 0.043224841356277466
epoch 16700  training loss: 0.11319519579410553
epoch 16700  clean testing loss: 0.04318108782172203
epoch 16800  training loss: 0.11309722065925598
epoch 16800  clean testing loss: 0.04313518851995468
epoch 16900  training loss: 0.11299867928028107
epoch 16900  clean testing loss: 0.043024711310863495
epoch 17000  training loss: 0.1128992885351181
epoch 17000  clean testing loss: 0.04302714020013809

 18%|██████████████                                                                  | 17556/100000 [01:11<05:45, 238.76it/s]
epoch 17100  training loss: 0.11279755085706711
epoch 17100  clean testing loss: 0.04296942427754402
epoch 17200  training loss: 0.1127004623413086
epoch 17200  clean testing loss: 0.04293343424797058
epoch 17300  training loss: 0.112599216401577
epoch 17300  clean testing loss: 0.042894091457128525
epoch 17400  training loss: 0.11249984055757523
epoch 17400  clean testing loss: 0.04290127754211426
epoch 17500  training loss: 0.11240295320749283

 18%|██████████████▍                                                                 | 18037/100000 [01:13<05:33, 245.81it/s]
epoch 17600  training loss: 0.11230562627315521
epoch 17600  clean testing loss: 0.04282260313630104
epoch 17700  training loss: 0.11221010237932205
epoch 17700  clean testing loss: 0.04275825247168541
epoch 17800  training loss: 0.11210095137357712
epoch 17800  clean testing loss: 0.04272797703742981
epoch 17900  training loss: 0.11199946701526642
epoch 17900  clean testing loss: 0.04275580123066902
epoch 18000  training loss: 0.11190437525510788
epoch 18000  clean testing loss: 0.04268399998545647

 19%|██████████████▊                                                                 | 18544/100000 [01:15<05:32, 245.11it/s]
epoch 18100  training loss: 0.11181416362524033
epoch 18100  clean testing loss: 0.042675163596868515
epoch 18200  training loss: 0.11171267926692963
epoch 18200  clean testing loss: 0.04267948120832443
epoch 18300  training loss: 0.11161977797746658
epoch 18300  clean testing loss: 0.042655400931835175
epoch 18400  training loss: 0.11153081804513931
epoch 18400  clean testing loss: 0.04260392114520073
epoch 18500  training loss: 0.11144659668207169

 19%|███████████████▏                                                                | 19025/100000 [01:17<05:38, 239.40it/s]
epoch 18600  training loss: 0.11136389523744583
epoch 18600  clean testing loss: 0.04262461140751839
epoch 18700  training loss: 0.11128055304288864
epoch 18700  clean testing loss: 0.0425788015127182
epoch 18800  training loss: 0.1111992821097374
epoch 18800  clean testing loss: 0.04256642982363701
epoch 18900  training loss: 0.11111775040626526
epoch 18900  clean testing loss: 0.042518250644207
epoch 19000  training loss: 0.1110355332493782
epoch 19000  clean testing loss: 0.04251886159181595

 20%|███████████████▌                                                                | 19508/100000 [01:19<05:32, 241.88it/s]
epoch 19100  training loss: 0.11095334589481354
epoch 19100  clean testing loss: 0.0424979142844677
epoch 19200  training loss: 0.11087334901094437
epoch 19200  clean testing loss: 0.042507488280534744
epoch 19300  training loss: 0.11079077422618866
epoch 19300  clean testing loss: 0.042446933686733246
epoch 19400  training loss: 0.11070852726697922
epoch 19400  clean testing loss: 0.0424327477812767
epoch 19500  training loss: 0.11062175035476685

 20%|███████████████▉                                                                | 19991/100000 [01:21<05:29, 242.88it/s]
epoch 19600  training loss: 0.11053868383169174
epoch 19600  clean testing loss: 0.04238537326455116
epoch 19700  training loss: 0.11045509576797485
epoch 19700  clean testing loss: 0.04240615293383598
epoch 19800  training loss: 0.11037158966064453
epoch 19800  clean testing loss: 0.04239144176244736
epoch 19900  training loss: 0.11028900742530823
epoch 19900  clean testing loss: 0.04236829653382301
epoch 20000  training loss: 0.11020610481500626
epoch 20000  clean testing loss: 0.04235844314098358

 20%|████████████████▍                                                               | 20496/100000 [01:23<05:31, 239.97it/s]
epoch 20100  training loss: 0.11012502014636993
epoch 20100  clean testing loss: 0.04228651523590088
epoch 20200  training loss: 0.11004476249217987
epoch 20200  clean testing loss: 0.042276833206415176
epoch 20300  training loss: 0.10996443778276443
epoch 20300  clean testing loss: 0.042265985161066055
epoch 20400  training loss: 0.10988373309373856

 21%|████████████████▊                                                               | 20976/100000 [01:25<05:23, 244.40it/s]
epoch 20500  training loss: 0.10980252176523209
epoch 20500  clean testing loss: 0.04223453998565674
epoch 20600  training loss: 0.10972337424755096
epoch 20600  clean testing loss: 0.04218427836894989
epoch 20700  training loss: 0.10964320600032806
epoch 20700  clean testing loss: 0.04220897704362869
epoch 20800  training loss: 0.10956353694200516
epoch 20800  clean testing loss: 0.04220372065901756
epoch 20900  training loss: 0.10948434472084045

 21%|█████████████████▏                                                              | 21459/100000 [01:27<05:23, 242.81it/s]
epoch 21000  training loss: 0.109404556453228
epoch 21000  clean testing loss: 0.04216906055808067
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 21100  training loss: 0.10933803021907806
epoch 21100  clean testing loss: 0.04211723059415817
epoch 21200  training loss: 0.10926879197359085
epoch 21200  clean testing loss: 0.0421220026910305
epoch 21300  training loss: 0.10918022692203522
epoch 21300  clean testing loss: 0.04210846126079559
epoch 21400  training loss: 0.10908418893814087

 22%|█████████████████▌                                                              | 21942/100000 [01:29<05:18, 245.29it/s]
epoch 21500  training loss: 0.10900949686765671
epoch 21500  clean testing loss: 0.042097922414541245
epoch 21600  training loss: 0.10893680155277252
epoch 21600  clean testing loss: 0.04208791255950928
epoch 21700  training loss: 0.10886455327272415
epoch 21700  clean testing loss: 0.04207358881831169
epoch 21800  training loss: 0.10879246145486832
epoch 21800  clean testing loss: 0.04207560792565346
epoch 21900  training loss: 0.10872127115726471

 22%|█████████████████▉                                                              | 22445/100000 [01:31<05:20, 241.96it/s]
epoch 22000  training loss: 0.10864993929862976
epoch 22000  clean testing loss: 0.04199694097042084
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 22100  training loss: 0.10857757180929184
epoch 22100  clean testing loss: 0.04205828905105591
epoch 22200  training loss: 0.10850504040718079
epoch 22200  clean testing loss: 0.042038097977638245
epoch 22300  training loss: 0.10843298584222794
epoch 22300  clean testing loss: 0.042050257325172424
epoch 22400  training loss: 0.1083611473441124

 23%|██████████████████▎                                                             | 22876/100000 [01:33<05:13, 245.99it/s]
epoch 22500  training loss: 0.10828933864831924
epoch 22500  clean testing loss: 0.04200805723667145
epoch 22600  training loss: 0.1082175076007843
epoch 22600  clean testing loss: 0.0419987253844738
epoch 22700  training loss: 0.10814554244279861
epoch 22700  clean testing loss: 0.04193470999598503
epoch 22800  training loss: 0.10807351022958755
epoch 22800  clean testing loss: 0.04193563759326935
epoch 22900  training loss: 0.10800039023160934

 23%|██████████████████▋                                                             | 23408/100000 [01:35<05:15, 242.97it/s]
epoch 23000  training loss: 0.10792696475982666
epoch 23000  clean testing loss: 0.04189496859908104
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 23100  training loss: 0.10785432904958725
epoch 23100  clean testing loss: 0.041878584772348404
epoch 23200  training loss: 0.1077805757522583
epoch 23200  clean testing loss: 0.04194527491927147
epoch 23300  training loss: 0.10770749300718307
epoch 23300  clean testing loss: 0.04186421260237694
epoch 23400  training loss: 0.10763492435216904

 24%|███████████████████                                                             | 23889/100000 [01:37<05:14, 241.85it/s]
epoch 23500  training loss: 0.10756444185972214
epoch 23500  clean testing loss: 0.041811343282461166
epoch 23600  training loss: 0.10749058425426483
epoch 23600  clean testing loss: 0.041829925030469894
epoch 23700  training loss: 0.10741771757602692
epoch 23700  clean testing loss: 0.041831765323877335
epoch 23800  training loss: 0.10734603554010391

 24%|███████████████████▍                                                            | 24371/100000 [01:39<05:11, 243.11it/s]
epoch 23900  training loss: 0.10727541893720627
epoch 23900  clean testing loss: 0.041817888617515564
epoch 24000  training loss: 0.10720499604940414
epoch 24000  clean testing loss: 0.041835296899080276
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 24100  training loss: 0.10714685916900635
epoch 24100  clean testing loss: 0.04180525988340378
epoch 24200  training loss: 0.10708799958229065
epoch 24200  clean testing loss: 0.041791826486587524
epoch 24300  training loss: 0.10702773183584213

 25%|███████████████████▉                                                            | 24878/100000 [01:41<05:08, 243.29it/s]
epoch 24400  training loss: 0.10696699470281601
epoch 24400  clean testing loss: 0.04177584499120712
epoch 24500  training loss: 0.10690441727638245
epoch 24500  clean testing loss: 0.04174288734793663
epoch 24600  training loss: 0.10684166103601456
epoch 24600  clean testing loss: 0.041760459542274475
epoch 24700  training loss: 0.10677772760391235
epoch 24700  clean testing loss: 0.04177060350775719
epoch 24800  training loss: 0.10671280324459076

 25%|████████████████████▎                                                           | 25359/100000 [01:43<05:11, 239.24it/s]
epoch 24900  training loss: 0.10664781183004379
epoch 24900  clean testing loss: 0.04176827520132065
epoch 25000  training loss: 0.10658383369445801
epoch 25000  clean testing loss: 0.04175655543804169
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_relu_size500_noise1.00e-01_invop0_lr1e-05 ...
epoch 25100  training loss: 0.10652121156454086
epoch 25100  clean testing loss: 0.041770245879888535
epoch 25200  training loss: 0.10645866394042969
epoch 25200  clean testing loss: 0.041739948093891144
epoch 25300  training loss: 0.10639533400535583

 26%|████████████████████▋                                                           | 25841/100000 [01:45<05:04, 243.60it/s]
epoch 25400  training loss: 0.10633185505867004
epoch 25400  clean testing loss: 0.04172571003437042
epoch 25500  training loss: 0.10626870393753052
epoch 25500  clean testing loss: 0.04171762242913246
epoch 25600  training loss: 0.1062067449092865
epoch 25600  clean testing loss: 0.04174026846885681
epoch 25700  training loss: 0.10614405572414398
epoch 25700  clean testing loss: 0.04172589257359505
epoch 25800  training loss: 0.10608164966106415

