
  1%|█▍                                                                                                                            | 1113/100000 [00:22<24:49, 66.39it/s]
 10%|████████████▏                                                                                                                 | 9669/100000 [02:49<25:13, 59.70it/s]
epoch 9700  training loss: 0.5657894015312195

 10%|████████████▎                                                                                                                 | 9789/100000 [02:51<25:51, 58.16it/s]
epoch 9800  training loss: 0.43699708580970764
epoch 9800  clean testing loss: 0.7222187519073486
epoch 9900  training loss: 3.3422696590423584

 10%|████████████▍                                                                                                                 | 9903/100000 [02:53<25:43, 58.36it/s]
epoch 10000  training loss: 0.46564149856567383
epoch 10000  clean testing loss: 0.7072591781616211

 10%|████████████▌                                                                                                                | 10017/100000 [02:55<26:23, 56.83it/s]
epoch 10100  training loss: 1.0172035694122314

 10%|████████████▋                                                                                                                | 10132/100000 [02:57<26:25, 56.67it/s]
epoch 10200  training loss: 0.4389990568161011

 10%|████████████▊                                                                                                                | 10248/100000 [02:59<25:16, 59.18it/s]
epoch 10300  training loss: 0.4358116686344147

 10%|████████████▉                                                                                                                | 10368/100000 [03:01<26:16, 56.87it/s]
epoch 10400  training loss: 0.5215054154396057

 10%|█████████████                                                                                                                | 10483/100000 [03:03<26:36, 56.08it/s]
epoch 10500  training loss: 11.59693431854248

 11%|█████████████▏                                                                                                               | 10597/100000 [03:05<25:06, 59.33it/s]
epoch 10600  training loss: 0.43308690190315247
epoch 10600  clean testing loss: 0.6213147640228271
epoch 10700  training loss: 0.47684213519096375

 11%|█████████████▍                                                                                                               | 10717/100000 [03:07<26:19, 56.54it/s]
epoch 10800  training loss: 0.40856796503067017

 11%|█████████████▌                                                                                                               | 10834/100000 [03:09<25:39, 57.93it/s]
epoch 10900  training loss: 0.4642030894756317

 11%|█████████████▋                                                                                                               | 10945/100000 [03:11<25:12, 58.88it/s]
epoch 11000  training loss: 1.9508137702941895
epoch 11000  clean testing loss: 2.68467378616333

 11%|█████████████▊                                                                                                               | 11061/100000 [03:13<26:12, 56.56it/s]
epoch 11100  training loss: 0.41685718297958374

 11%|█████████████▉                                                                                                               | 11176/100000 [03:15<26:14, 56.40it/s]
epoch 11200  training loss: 0.41606229543685913

 11%|██████████████                                                                                                               | 11293/100000 [03:17<25:58, 56.93it/s]
epoch 11300  training loss: 0.43075326085090637
epoch 11300  clean testing loss: 0.6142889261245728
epoch 11400  training loss: 0.4043803811073303

 11%|██████████████▎                                                                                                              | 11407/100000 [03:19<25:35, 57.70it/s]
epoch 11500  training loss: 0.4756579101085663

 12%|██████████████▍                                                                                                              | 11527/100000 [03:21<25:11, 58.51it/s]
epoch 11600  training loss: 0.38563889265060425

 12%|██████████████▌                                                                                                              | 11648/100000 [03:23<25:14, 58.35it/s]
epoch 11700  training loss: 1.2493035793304443

 12%|██████████████▋                                                                                                              | 11764/100000 [03:25<25:45, 57.09it/s]
epoch 11800  training loss: 0.39061591029167175

 12%|██████████████▊                                                                                                              | 11879/100000 [03:27<25:51, 56.78it/s]
epoch 11900  training loss: 3.113555669784546

 12%|██████████████▉                                                                                                              | 11993/100000 [03:29<25:42, 57.04it/s]
epoch 12000  training loss: 0.7040740251541138
epoch 12000  clean testing loss: 0.9003007411956787
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers2_relu2_size500_noise1.00e-01_invop1_lr5e-05 ...
epoch 12100  training loss: 0.5772373080253601

 12%|███████████████▏                                                                                                             | 12108/100000 [03:31<26:20, 55.60it/s]
epoch 12200  training loss: 0.3931901156902313

 12%|███████████████▎                                                                                                             | 12222/100000 [03:33<24:51, 58.87it/s]
epoch 12300  training loss: 0.35146597027778625

 12%|███████████████▍                                                                                                             | 12338/100000 [03:35<25:37, 57.03it/s]
epoch 12400  training loss: 0.35422632098197937

 12%|███████████████▌                                                                                                             | 12453/100000 [03:37<25:18, 57.65it/s]
epoch 12500  training loss: 0.364029198884964

 13%|███████████████▋                                                                                                             | 12568/100000 [03:39<25:43, 56.65it/s]
epoch 12600  training loss: 0.32253241539001465

 13%|███████████████▊                                                                                                             | 12684/100000 [03:41<25:29, 57.09it/s]
epoch 12700  training loss: 0.31182897090911865

 13%|███████████████▉                                                                                                             | 12798/100000 [03:43<26:02, 55.82it/s]
epoch 12800  training loss: 0.3635934591293335
epoch 12800  clean testing loss: 0.5626097917556763
epoch 12900  training loss: 1.7272367477416992

 13%|████████████████▏                                                                                                            | 12912/100000 [03:45<25:52, 56.10it/s]
epoch 13000  training loss: 0.43460652232170105
epoch 13000  clean testing loss: 0.6054720282554626

 13%|████████████████▎                                                                                                            | 13026/100000 [03:47<25:29, 56.88it/s]
epoch 13100  training loss: 0.3341726064682007

 13%|████████████████▍                                                                                                            | 13141/100000 [03:49<25:05, 57.68it/s]
epoch 13200  training loss: 1.0710346698760986

 13%|████████████████▌                                                                                                            | 13256/100000 [03:51<25:31, 56.66it/s]
epoch 13300  training loss: 0.3149779140949249

 13%|████████████████▋                                                                                                            | 13372/100000 [03:53<25:50, 55.88it/s]
epoch 13400  training loss: 0.3008582592010498

 13%|████████████████▊                                                                                                            | 13486/100000 [03:55<24:57, 57.77it/s]
epoch 13500  training loss: 0.3544166386127472

 14%|█████████████████                                                                                                            | 13601/100000 [03:57<24:44, 58.19it/s]
epoch 13600  training loss: 0.5208864212036133
epoch 13600  clean testing loss: 0.7272415161132812
epoch 13700  training loss: 0.4417177438735962

 14%|█████████████████▏                                                                                                           | 13716/100000 [03:59<25:05, 57.31it/s]
epoch 13800  training loss: 1.7491936683654785

 14%|█████████████████▎                                                                                                           | 13827/100000 [04:01<25:25, 56.47it/s]
epoch 13900  training loss: 0.25025030970573425

 14%|█████████████████▍                                                                                                           | 13948/100000 [04:04<25:09, 57.02it/s]
epoch 14000  training loss: 0.46308258175849915
epoch 14000  clean testing loss: 1.5988682508468628

 14%|█████████████████▌                                                                                                           | 14058/100000 [04:06<24:48, 57.75it/s]
epoch 14100  training loss: 0.21210411190986633

 14%|█████████████████▋                                                                                                           | 14173/100000 [04:08<24:56, 57.35it/s]
epoch 14200  training loss: 3.0104517936706543

 14%|█████████████████▊                                                                                                           | 14287/100000 [04:10<25:02, 57.04it/s]
epoch 14300  training loss: 0.29986679553985596

 14%|██████████████████                                                                                                           | 14402/100000 [04:12<25:19, 56.31it/s]
epoch 14400  training loss: 0.24108842015266418
epoch 14400  clean testing loss: 0.45559316873550415
epoch 14500  training loss: 0.6051679849624634

 15%|██████████████████▏                                                                                                          | 14518/100000 [04:14<24:18, 58.61it/s]
epoch 14600  training loss: 0.23587104678153992

 15%|██████████████████▎                                                                                                          | 14633/100000 [04:15<23:54, 59.53it/s]
epoch 14700  training loss: 0.3348483443260193

 15%|██████████████████▍                                                                                                          | 14753/100000 [04:18<24:11, 58.73it/s]
epoch 14800  training loss: 0.26837649941444397

 15%|██████████████████▌                                                                                                          | 14874/100000 [04:20<23:58, 59.20it/s]
epoch 14900  training loss: 0.34771448373794556

 15%|██████████████████▋                                                                                                          | 14982/100000 [04:22<25:27, 55.68it/s]
epoch 15000  training loss: 0.6704531311988831
epoch 15000  clean testing loss: 0.6649308204650879

 15%|██████████████████▉                                                                                                          | 15101/100000 [04:24<25:08, 56.28it/s]
epoch 15100  training loss: 0.8262030482292175


 15%|███████████████████▏                                                                                                         | 15332/100000 [04:28<23:43, 59.49it/s]
epoch 15200  training loss: 0.3559305667877197
epoch 15200  clean testing loss: 0.5445323586463928
epoch 15300  training loss: 0.3353172838687897

 15%|███████████████████▎                                                                                                         | 15446/100000 [04:30<25:07, 56.10it/s]
epoch 15400  training loss: 0.26160481572151184

 16%|███████████████████▍                                                                                                         | 15538/100000 [04:32<33:25, 42.12it/s]
epoch 15500  training loss: 0.32840317487716675

 16%|███████████████████▌                                                                                                         | 15623/100000 [04:34<33:42, 41.72it/s]
epoch 15600  training loss: 0.20933283865451813

 16%|███████████████████▋                                                                                                         | 15708/100000 [04:36<32:33, 43.14it/s]
epoch 15700  training loss: 0.23874790966510773

 16%|███████████████████▋                                                                                                         | 15788/100000 [04:38<33:16, 42.17it/s]
epoch 15800  training loss: 0.32433611154556274

 16%|███████████████████▊                                                                                                         | 15873/100000 [04:40<33:04, 42.40it/s]
epoch 15900  training loss: 3.514662504196167

 16%|███████████████████▉                                                                                                         | 15958/100000 [04:42<33:21, 42.00it/s]
epoch 16000  training loss: 0.21777233481407166
epoch 16000  clean testing loss: 0.43095093965530396

 16%|████████████████████                                                                                                         | 16043/100000 [04:44<33:06, 42.27it/s]
epoch 16100  training loss: 0.35236963629722595


 16%|████████████████████▎                                                                                                        | 16213/100000 [04:48<32:57, 42.38it/s]
epoch 16200  training loss: 0.5074029564857483

 16%|████████████████████▎                                                                                                        | 16298/100000 [04:50<33:23, 41.78it/s]
epoch 16300  training loss: 0.32085269689559937

 16%|████████████████████▍                                                                                                        | 16383/100000 [04:52<33:15, 41.91it/s]
epoch 16400  training loss: 1.2293614149093628

 16%|████████████████████▌                                                                                                        | 16468/100000 [04:54<32:49, 42.42it/s]
epoch 16500  training loss: 0.46047621965408325

 17%|████████████████████▋                                                                                                        | 16553/100000 [04:56<33:04, 42.05it/s]
epoch 16600  training loss: 0.31744545698165894

 17%|████████████████████▊                                                                                                        | 16633/100000 [04:58<33:39, 41.28it/s]
epoch 16700  training loss: 0.1980127990245819


 17%|█████████████████████                                                                                                        | 16803/100000 [05:02<33:02, 41.97it/s]
epoch 16800  training loss: 0.17506076395511627

 17%|█████████████████████                                                                                                        | 16888/100000 [05:04<33:02, 41.92it/s]
epoch 16900  training loss: 0.22541947662830353

 17%|█████████████████████▏                                                                                                       | 16973/100000 [05:06<32:23, 42.71it/s]
epoch 17000  training loss: 0.18998217582702637
epoch 17000  clean testing loss: 0.37213149666786194

 17%|█████████████████████▎                                                                                                       | 17058/100000 [05:08<32:36, 42.40it/s]
epoch 17100  training loss: 1.2192819118499756

 17%|█████████████████████▍                                                                                                       | 17143/100000 [05:10<32:59, 41.85it/s]
epoch 17200  training loss: 0.4723557233810425


 17%|█████████████████████▋                                                                                                       | 17308/100000 [05:14<33:04, 41.68it/s]
epoch 17300  training loss: 0.2562369406223297

 17%|█████████████████████▋                                                                                                       | 17398/100000 [05:16<32:16, 42.66it/s]
epoch 17400  training loss: 0.20307333767414093

 17%|█████████████████████▊                                                                                                       | 17458/100000 [05:17<32:49, 41.91it/s]
epoch 17500  training loss: 0.2932978868484497

 18%|█████████████████████▉                                                                                                       | 17543/100000 [05:19<32:14, 42.63it/s]
epoch 17600  training loss: 0.4015653729438782

 18%|██████████████████████                                                                                                       | 17628/100000 [05:21<32:26, 42.32it/s]
epoch 17700  training loss: 0.5874884724617004

 18%|██████████████████████▏                                                                                                      | 17713/100000 [05:23<32:48, 41.80it/s]
epoch 17800  training loss: 0.2736702263355255


 18%|██████████████████████▎                                                                                                      | 17883/100000 [05:27<33:03, 41.39it/s]
epoch 17900  training loss: 0.2474544793367386

 18%|██████████████████████▍                                                                                                      | 17968/100000 [05:29<32:27, 42.12it/s]
epoch 18000  training loss: 0.30173012614250183
epoch 18000  clean testing loss: 0.43590062856674194

 18%|██████████████████████▌                                                                                                      | 18053/100000 [05:31<32:51, 41.56it/s]
epoch 18100  training loss: 0.22178111970424652

 18%|██████████████████████▋                                                                                                      | 18138/100000 [05:33<32:12, 42.36it/s]
epoch 18200  training loss: 0.1632019728422165

 18%|██████████████████████▊                                                                                                      | 18223/100000 [05:35<32:27, 42.00it/s]
epoch 18300  training loss: 0.16022321581840515


 18%|██████████████████████▉                                                                                                      | 18388/100000 [05:39<32:03, 42.42it/s]
epoch 18400  training loss: 0.20855683088302612

 18%|███████████████████████                                                                                                      | 18473/100000 [05:41<31:54, 42.58it/s]
epoch 18500  training loss: 0.2772844135761261

 19%|███████████████████████▏                                                                                                     | 18558/100000 [05:43<32:29, 41.79it/s]
epoch 18600  training loss: 0.1605389416217804

 19%|███████████████████████▎                                                                                                     | 18643/100000 [05:45<32:39, 41.52it/s]
epoch 18700  training loss: 0.19003230333328247

 19%|███████████████████████▍                                                                                                     | 18728/100000 [05:47<32:49, 41.27it/s]
epoch 18800  training loss: 0.1857103407382965


 19%|███████████████████████▌                                                                                                     | 18893/100000 [05:51<32:33, 41.52it/s]
epoch 18900  training loss: 0.14464710652828217

 19%|███████████████████████▋                                                                                                     | 18978/100000 [05:53<31:44, 42.54it/s]
epoch 19000  training loss: 0.42683160305023193
epoch 19000  clean testing loss: 0.7158985733985901

 19%|███████████████████████▊                                                                                                     | 19063/100000 [05:55<31:54, 42.27it/s]
epoch 19100  training loss: 0.25068843364715576

 19%|███████████████████████▉                                                                                                     | 19148/100000 [05:57<32:52, 40.99it/s]
epoch 19200  training loss: 0.19025196135044098

 19%|████████████████████████                                                                                                     | 19233/100000 [05:59<32:25, 41.51it/s]
epoch 19300  training loss: 0.1735079437494278


 19%|████████████████████████▎                                                                                                    | 19403/100000 [06:03<31:57, 42.03it/s]
epoch 19400  training loss: 6.045738697052002

 19%|████████████████████████▎                                                                                                    | 19488/100000 [06:06<31:29, 42.62it/s]
epoch 19500  training loss: 0.262764036655426

 20%|████████████████████████▍                                                                                                    | 19573/100000 [06:08<31:44, 42.24it/s]
epoch 19600  training loss: 0.20076607167720795

 20%|████████████████████████▌                                                                                                    | 19653/100000 [06:09<32:01, 41.82it/s]
epoch 19700  training loss: 0.5385098457336426

 20%|████████████████████████▋                                                                                                    | 19738/100000 [06:11<32:02, 41.74it/s]
epoch 19800  training loss: 0.14609165489673615

 20%|████████████████████████▊                                                                                                    | 19823/100000 [06:13<31:26, 42.50it/s]
epoch 19900  training loss: 0.2536558508872986


 20%|████████████████████████▉                                                                                                    | 19994/100000 [06:18<31:14, 42.68it/s]
epoch 20000  training loss: 0.24220652878284454
epoch 20000  clean testing loss: 0.3513471186161041

 20%|█████████████████████████                                                                                                    | 20079/100000 [06:20<31:07, 42.79it/s]
