
  1%|▉                                                                                                                      | 819/100000 [00:01<02:39, 623.61it/s]
epoch 5200  clean testing loss: 26412510.0
epoch 5300  training loss: 23189020.0
epoch 5300  clean testing loss: 25339824.0
epoch 5400  training loss: 22248584.0
epoch 5400  clean testing loss: 24571880.0
epoch 5500  training loss: 21019164.0
epoch 5500  clean testing loss: 23441572.0
epoch 5600  training loss: 19849796.0
epoch 5600  clean testing loss: 22529538.0
epoch 5700  training loss: 18930728.0
epoch 5700  clean testing loss: 21481170.0
epoch 5800  training loss: 18195564.0
epoch 5800  clean testing loss: 20365132.0
epoch 5900  training loss: 16903932.0

  7%|████████▍                                                                                                             | 7136/100000 [00:11<02:27, 629.95it/s]
epoch 6000  training loss: 16097809.0
epoch 6000  clean testing loss: 18616234.0
epoch 6100  training loss: 15377613.0
epoch 6100  clean testing loss: 17638582.0
epoch 6200  training loss: 14609765.0
epoch 6200  clean testing loss: 16815866.0
epoch 6300  training loss: 13876328.0
epoch 6300  clean testing loss: 16294399.0
epoch 6400  training loss: 13310152.0
epoch 6400  clean testing loss: 15825585.0
epoch 6500  training loss: 225489792.0
epoch 6500  clean testing loss: 162587616.0
epoch 6600  training loss: 14555873.0
epoch 6600  clean testing loss: 15937174.0
epoch 6700  training loss: 13806062.0
epoch 6700  clean testing loss: 15689124.0
epoch 6800  training loss: 13437642.0
epoch 6800  clean testing loss: 15165723.0
epoch 6900  training loss: 12844337.0
epoch 6900  clean testing loss: 14740014.0
epoch 7000  training loss: 12575769.0
epoch 7000  clean testing loss: 14474218.0
epoch 7100  training loss: 12111303.0
epoch 7100  clean testing loss: 13975893.0
epoch 7200  training loss: 11711760.0

  8%|█████████▉                                                                                                            | 8415/100000 [00:13<02:25, 629.78it/s]
epoch 7300  training loss: 11338192.0
epoch 7300  clean testing loss: 13169249.0
epoch 7400  training loss: 10932081.0
epoch 7400  clean testing loss: 12654232.0
epoch 7500  training loss: 10665630.0
epoch 7500  clean testing loss: 12377553.0
epoch 7600  training loss: 10230563.0
epoch 7600  clean testing loss: 11894309.0
epoch 7700  training loss: 9923081.0
epoch 7700  clean testing loss: 11482809.0
epoch 7800  training loss: 9543387.0
epoch 7800  clean testing loss: 11131990.0
epoch 7900  training loss: 9113052.0
epoch 7900  clean testing loss: 10955107.0
epoch 8000  training loss: 8831060.0
epoch 8000  clean testing loss: 10359227.0
epoch 8100  training loss: 8536489.0
epoch 8100  clean testing loss: 10092633.0
epoch 8200  training loss: 8152932.0
epoch 8200  clean testing loss: 9774206.0
epoch 8300  training loss: 263757520.0
epoch 8300  clean testing loss: 2210575360.0
epoch 8400  training loss: 11939392.0
epoch 8400  clean testing loss: 11898351.0
epoch 8500  training loss: 10174157.0

 10%|███████████▍                                                                                                          | 9694/100000 [00:15<02:22, 632.54it/s]
epoch 8600  training loss: 9296284.0
epoch 8600  clean testing loss: 9300919.0
epoch 8700  training loss: 8687340.0
epoch 8700  clean testing loss: 9143856.0
epoch 8800  training loss: 8413911.0
epoch 8800  clean testing loss: 8810910.0
epoch 8900  training loss: 8048496.0
epoch 8900  clean testing loss: 8570053.0
epoch 9000  training loss: 8081302.0
epoch 9000  clean testing loss: 8355255.0
epoch 9100  training loss: 7651697.5
epoch 9100  clean testing loss: 8256022.0
epoch 9200  training loss: 7474145.5
epoch 9200  clean testing loss: 8065292.5
epoch 9300  training loss: 7315429.5
epoch 9300  clean testing loss: 7910173.0
epoch 9400  training loss: 7125055.5
epoch 9400  clean testing loss: 7753540.5
epoch 9500  training loss: 6872674.5
epoch 9500  clean testing loss: 7558661.5
epoch 9600  training loss: 6770675.5
epoch 9600  clean testing loss: 7352090.0
epoch 9700  training loss: 6625865.0

 11%|████████████▊                                                                                                        | 10972/100000 [00:17<02:21, 631.08it/s]
epoch 9800  training loss: 6399429.5
epoch 9800  clean testing loss: 7008226.0
epoch 9900  training loss: 6268186.5
epoch 9900  clean testing loss: 6826788.5
epoch 10000  training loss: 6134212.0
epoch 10000  clean testing loss: 6637075.5
epoch 10100  training loss: 5862553.5
epoch 10100  clean testing loss: 6491366.0
epoch 10200  training loss: 231674036224.0
epoch 10200  clean testing loss: 15321205760.0
epoch 10300  training loss: 14180627.0
epoch 10300  clean testing loss: 7507635.0
epoch 10400  training loss: 6963351.0
epoch 10400  clean testing loss: 6782969.0
epoch 10500  training loss: 6624940.5
epoch 10500  clean testing loss: 6464737.5
epoch 10600  training loss: 6351535.0
epoch 10600  clean testing loss: 6277900.5
epoch 10700  training loss: 6069435.5
epoch 10700  clean testing loss: 6154380.5
epoch 10800  training loss: 5846425.5
epoch 10800  clean testing loss: 6055960.0
epoch 10900  training loss: 5701334.5
epoch 10900  clean testing loss: 5959067.0
epoch 11000  training loss: 5596825.5

 12%|██████████████▎                                                                                                      | 12252/100000 [00:19<02:18, 633.28it/s]
epoch 11100  training loss: 5475618.0
epoch 11100  clean testing loss: 5822068.5
epoch 11200  training loss: 5326774.5
epoch 11200  clean testing loss: 5738668.5
epoch 11300  training loss: 5357102.5
epoch 11300  clean testing loss: 5687585.0
epoch 11400  training loss: 5160826.5
epoch 11400  clean testing loss: 5602119.0
epoch 11500  training loss: 5110492.5
epoch 11500  clean testing loss: 5498206.5
epoch 11600  training loss: 5000465.5
epoch 11600  clean testing loss: 5401075.5
epoch 11700  training loss: 4932682.0
epoch 11700  clean testing loss: 5365547.5
epoch 11800  training loss: 8016017489920.0
epoch 11800  clean testing loss: 67090665472.0
epoch 11900  training loss: 174580784.0
epoch 11900  clean testing loss: 37423424.0
epoch 12000  training loss: 7453137.5
epoch 12000  clean testing loss: 6785390.0
epoch 12100  training loss: 6513733.0
epoch 12100  clean testing loss: 6209881.0
epoch 12200  training loss: 6142704.0
epoch 12200  clean testing loss: 5945100.5
epoch 12300  training loss: 5854632.0
 13%|███████████████▎                                                                                                     | 13126/100000 [00:20<02:18, 626.48it/s]
Traceback (most recent call last):
  File "/home/howon/aistats25-exp/nn_exp.py", line 254, in <module>
    scheduler.step()
  File "/home/howon/.conda/envs/cs552/lib/python3.10/site-packages/torch/optim/lr_scheduler.py", line 154, in step
    values = self.get_lr()
  File "/home/howon/.conda/envs/cs552/lib/python3.10/site-packages/torch/optim/lr_scheduler.py", line 400, in get_lr
    def get_lr(self):
KeyboardInterrupt
epoch 12400  training loss: 5639514.0
epoch 12400  clean testing loss: 5646951.0
epoch 12500  training loss: 5482864.0
epoch 12500  clean testing loss: 5541565.5
epoch 12600  training loss: 5364767.5
epoch 12600  clean testing loss: 5451491.0
epoch 12700  training loss: 5234315.5
epoch 12700  clean testing loss: 5434123.5
epoch 12800  training loss: 5027426.0
epoch 12800  clean testing loss: 5386148.0
epoch 12900  training loss: 4973607.0
epoch 12900  clean testing loss: 5303809.5
epoch 13000  training loss: 4911990.0
epoch 13000  clean testing loss: 5260771.0
epoch 13100  training loss: 4846075.0
epoch 13100  clean testing loss: 5245166.0
