
  0%|▎                                                                                 | 319/100000 [00:01<06:33, 253.07it/s]
epoch 9400  training loss: 0.06170334666967392

 10%|███████▉                                                                         | 9758/100000 [00:49<08:26, 178.11it/s]
epoch 9500  training loss: 0.06163540109992027
epoch 9500  clean testing loss: 0.043771807104349136
epoch 9600  training loss: 0.059728674590587616
epoch 9600  clean testing loss: 0.04287245497107506
epoch 9700  training loss: 0.05933960899710655
epoch 9700  clean testing loss: 0.04221838712692261
epoch 9800  training loss: 0.06117825582623482

 10%|████████                                                                        | 10112/100000 [00:51<08:21, 179.06it/s]
epoch 9900  training loss: 0.06158176809549332
epoch 9900  clean testing loss: 0.045179568231105804
epoch 10000  training loss: 0.06116020306944847
epoch 10000  clean testing loss: 0.04121657460927963
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 10100  training loss: 0.05868489295244217

 10%|████████▍                                                                       | 10484/100000 [00:53<08:19, 179.32it/s]
epoch 10200  training loss: 0.0591539703309536
epoch 10200  clean testing loss: 0.04515606164932251
epoch 10300  training loss: 0.0582130067050457
epoch 10300  clean testing loss: 0.04313141852617264
epoch 10400  training loss: 0.06320606917142868
epoch 10400  clean testing loss: 0.04804636910557747
epoch 10500  training loss: 0.057714514434337616

 11%|████████▋                                                                       | 10835/100000 [00:55<08:30, 174.73it/s]
epoch 10600  training loss: 0.06112198159098625
epoch 10600  clean testing loss: 0.046935778111219406
epoch 10700  training loss: 0.06390812993049622
epoch 10700  clean testing loss: 0.050592318177223206
epoch 10800  training loss: 0.057181764394044876

 11%|████████▉                                                                       | 11190/100000 [00:57<08:21, 177.09it/s]
epoch 10900  training loss: 0.056688740849494934
epoch 10900  clean testing loss: 0.04327511414885521
epoch 11000  training loss: 0.05734976381063461
epoch 11000  clean testing loss: 0.04570012539625168
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 11100  training loss: 0.056860439479351044
epoch 11100  clean testing loss: 0.044376734644174576
epoch 11200  training loss: 0.05838799104094505
 11%|█████████                                                                       | 11320/100000 [00:58<08:29, 174.04it/s][34m[1mwandb[39m[22m: 429 encountered (Filestream rate limit exceeded, retrying in 2.4 seconds.), retrying request
 12%|█████████▏                                                                      | 11543/100000 [00:59<08:13, 179.29it/s]
epoch 11300  training loss: 0.05657189339399338
epoch 11300  clean testing loss: 0.04428235813975334
epoch 11400  training loss: 0.05598890408873558
epoch 11400  clean testing loss: 0.046878647059202194
epoch 11500  training loss: 0.057165082544088364

 12%|█████████▌                                                                      | 11894/100000 [01:01<08:25, 174.45it/s]
epoch 11600  training loss: 0.05922078341245651
epoch 11600  clean testing loss: 0.04655146226286888
epoch 11700  training loss: 0.07306493818759918
epoch 11700  clean testing loss: 0.045752063393592834
epoch 11800  training loss: 0.05558395758271217
epoch 11800  clean testing loss: 0.045396849513053894
epoch 11900  training loss: 0.05569193884730339

 12%|█████████▊                                                                      | 12247/100000 [01:03<08:13, 177.85it/s]
epoch 12000  training loss: 0.05865893140435219
epoch 12000  clean testing loss: 0.044005442410707474
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 12100  training loss: 0.0547616071999073
epoch 12100  clean testing loss: 0.04585709422826767
epoch 12200  training loss: 0.05439493805170059

 13%|██████████                                                                      | 12600/100000 [01:05<08:07, 179.19it/s]
epoch 12300  training loss: 0.05453738942742348
epoch 12300  clean testing loss: 0.04685011878609657
epoch 12400  training loss: 0.05409836024045944
epoch 12400  clean testing loss: 0.04632164537906647
epoch 12500  training loss: 0.055757541209459305
epoch 12500  clean testing loss: 0.04652281478047371
epoch 12600  training loss: 0.05413705110549927

 13%|██████████▎                                                                     | 12952/100000 [01:07<08:15, 175.74it/s]
epoch 12700  training loss: 0.0547148659825325
epoch 12700  clean testing loss: 0.051830217242240906
epoch 12800  training loss: 0.0545201413333416
epoch 12800  clean testing loss: 0.04753180593252182
epoch 12900  training loss: 0.05403142794966698

 13%|██████████▋                                                                     | 13306/100000 [01:09<08:05, 178.68it/s]
epoch 13000  training loss: 0.054093074053525925
epoch 13000  clean testing loss: 0.04874661564826965
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 13100  training loss: 0.05430454760789871
epoch 13100  clean testing loss: 0.050222087651491165
epoch 13200  training loss: 0.05370785668492317
epoch 13200  clean testing loss: 0.047507114708423615
epoch 13300  training loss: 0.05304295942187309

 14%|██████████▉                                                                     | 13660/100000 [01:11<08:02, 179.09it/s]
epoch 13400  training loss: 0.05324640870094299
epoch 13400  clean testing loss: 0.049751244485378265
epoch 13500  training loss: 0.05287818983197212
epoch 13500  clean testing loss: 0.04885111004114151
epoch 13600  training loss: 0.05447922274470329

 14%|███████████▏                                                                    | 14012/100000 [01:13<08:16, 173.31it/s]
epoch 13700  training loss: 0.05376196280121803
epoch 13700  clean testing loss: 0.050875335931777954
epoch 13800  training loss: 0.05403657257556915
epoch 13800  clean testing loss: 0.04832219332456589
epoch 13900  training loss: 0.053211625665426254
epoch 13900  clean testing loss: 0.04931408166885376
epoch 14000  training loss: 0.05694650858640671
epoch 14000  clean testing loss: 0.05556665360927582

 14%|███████████▍                                                                    | 14366/100000 [01:15<08:01, 177.96it/s]
epoch 14100  training loss: 0.05358738452196121
epoch 14100  clean testing loss: 0.04873082786798477
epoch 14200  training loss: 0.05331309884786606
epoch 14200  clean testing loss: 0.0493394136428833
epoch 14300  training loss: 0.05215330794453621
epoch 14300  clean testing loss: 0.048627350479364395
epoch 14400  training loss: 0.053260087966918945

 15%|███████████▊                                                                    | 14737/100000 [01:17<07:59, 177.89it/s]
epoch 14500  training loss: 0.05327576771378517
epoch 14500  clean testing loss: 0.04890067130327225
epoch 14600  training loss: 0.05189324542880058
epoch 14600  clean testing loss: 0.04966405779123306
epoch 14700  training loss: 0.05151406303048134

 15%|████████████                                                                    | 15090/100000 [01:19<07:53, 179.23it/s]
epoch 14800  training loss: 0.05223732069134712
epoch 14800  clean testing loss: 0.05061626061797142
epoch 14900  training loss: 0.05180560424923897
epoch 14900  clean testing loss: 0.05085952207446098
epoch 15000  training loss: 0.05222431570291519
epoch 15000  clean testing loss: 0.05057736113667488
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 15100  training loss: 0.050766490399837494

 15%|████████████▎                                                                   | 15441/100000 [01:21<08:03, 174.77it/s]
epoch 15200  training loss: 0.050753410905599594
epoch 15200  clean testing loss: 0.04990328475832939
epoch 15300  training loss: 0.05073198303580284
epoch 15300  clean testing loss: 0.051800891757011414
epoch 15400  training loss: 0.050869785249233246

 16%|████████████▋                                                                   | 15801/100000 [01:23<07:56, 176.75it/s]
epoch 15500  training loss: 0.05022425577044487
epoch 15500  clean testing loss: 0.05099773406982422
epoch 15600  training loss: 0.050497088581323624
epoch 15600  clean testing loss: 0.050570048391819
epoch 15700  training loss: 0.05051327869296074
epoch 15700  clean testing loss: 0.050266847014427185
epoch 15800  training loss: 0.05320720747113228

 16%|████████████▉                                                                   | 16154/100000 [01:25<07:49, 178.77it/s]
epoch 15900  training loss: 0.050118058919906616
epoch 15900  clean testing loss: 0.05182179808616638
epoch 16000  training loss: 0.05006929859519005
epoch 16000  clean testing loss: 0.05315292626619339
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 16100  training loss: 0.050995100289583206

 17%|█████████████▏                                                                  | 16506/100000 [01:27<07:58, 174.48it/s]
epoch 16200  training loss: 0.050209201872348785
epoch 16200  clean testing loss: 0.052794985473155975
epoch 16300  training loss: 0.04939472675323486
epoch 16300  clean testing loss: 0.051018983125686646
epoch 16400  training loss: 0.04919859394431114
epoch 16400  clean testing loss: 0.051617685705423355
epoch 16500  training loss: 0.05029663071036339

 17%|█████████████▍                                                                  | 16859/100000 [01:29<07:48, 177.29it/s]
epoch 16600  training loss: 0.04897642880678177
epoch 16600  clean testing loss: 0.05208281800150871
epoch 16700  training loss: 0.06909198313951492
epoch 16700  clean testing loss: 0.06083086133003235
epoch 16800  training loss: 0.04913759231567383

 17%|█████████████▊                                                                  | 17212/100000 [01:31<07:44, 178.28it/s]
epoch 16900  training loss: 0.04892345517873764
epoch 16900  clean testing loss: 0.05373965948820114
epoch 17000  training loss: 0.04866151511669159
epoch 17000  clean testing loss: 0.051729775965213776
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 17100  training loss: 0.04868290573358536
epoch 17100  clean testing loss: 0.05312294885516167
epoch 17200  training loss: 0.04878094419836998

 18%|██████████████                                                                  | 17564/100000 [01:33<07:54, 173.67it/s]
epoch 17300  training loss: 0.051342643797397614
epoch 17300  clean testing loss: 0.056063465774059296
epoch 17400  training loss: 0.04942695051431656
epoch 17400  clean testing loss: 0.053075190633535385
epoch 17500  training loss: 0.05435118451714516

 18%|██████████████▎                                                                 | 17918/100000 [01:35<07:44, 176.61it/s]
epoch 17600  training loss: 0.048158466815948486
epoch 17600  clean testing loss: 0.05294420197606087
epoch 17700  training loss: 0.047907400876283646
epoch 17700  clean testing loss: 0.05396999418735504
epoch 17800  training loss: 0.06441366672515869
epoch 17800  clean testing loss: 0.05764655023813248
epoch 17900  training loss: 0.04976625367999077

 18%|██████████████▌                                                                 | 18271/100000 [01:37<07:35, 179.62it/s]
epoch 18000  training loss: 0.05006832256913185
epoch 18000  clean testing loss: 0.0538589283823967
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 18100  training loss: 0.047572407871484756
epoch 18100  clean testing loss: 0.05233772471547127
epoch 18200  training loss: 0.04746299982070923

 19%|██████████████▉                                                                 | 18642/100000 [01:39<07:35, 178.52it/s]
epoch 18300  training loss: 0.04748468101024628
epoch 18300  clean testing loss: 0.05278805270791054
epoch 18400  training loss: 0.04759863391518593
epoch 18400  clean testing loss: 0.053213976323604584
epoch 18500  training loss: 0.047212861478328705
epoch 18500  clean testing loss: 0.0539463572204113
epoch 18600  training loss: 0.04726780578494072

 19%|███████████████▏                                                                | 18993/100000 [01:41<07:45, 173.85it/s]
epoch 18700  training loss: 0.04892275109887123
epoch 18700  clean testing loss: 0.05388560891151428
epoch 18800  training loss: 0.0469023697078228
epoch 18800  clean testing loss: 0.054940737783908844
epoch 18900  training loss: 0.04748629406094551
epoch 18900  clean testing loss: 0.05373356118798256
epoch 19000  training loss: 0.04888187721371651
epoch 19000  clean testing loss: 0.055762454867362976

 19%|███████████████▍                                                                | 19345/100000 [01:43<07:36, 176.56it/s]
epoch 19100  training loss: 0.04751690477132797
epoch 19100  clean testing loss: 0.057494718581438065
epoch 19200  training loss: 0.04623033106327057
epoch 19200  clean testing loss: 0.05403859168291092
epoch 19300  training loss: 0.04651365801692009

 20%|███████████████▊                                                                | 19698/100000 [01:45<07:29, 178.72it/s]
epoch 19400  training loss: 0.045948293060064316
epoch 19400  clean testing loss: 0.05475194752216339
epoch 19500  training loss: 0.04663214460015297
epoch 19500  clean testing loss: 0.05556640774011612
epoch 19600  training loss: 0.04586503282189369
epoch 19600  clean testing loss: 0.054868120700120926
epoch 19700  training loss: 0.04589611291885376

 20%|████████████████                                                                | 20048/100000 [01:47<07:43, 172.66it/s]
epoch 19800  training loss: 0.04697289317846298
epoch 19800  clean testing loss: 0.05446987226605415
epoch 19900  training loss: 0.04570664092898369
epoch 19900  clean testing loss: 0.055673666298389435
epoch 20000  training loss: 0.04791654273867607
epoch 20000  clean testing loss: 0.05682097375392914

 20%|████████████████▎                                                               | 20401/100000 [01:49<07:30, 176.56it/s]
epoch 20100  training loss: 0.04606352746486664
epoch 20100  clean testing loss: 0.05588396266102791
epoch 20200  training loss: 0.0454905740916729
epoch 20200  clean testing loss: 0.05604798346757889
epoch 20300  training loss: 0.045865144580602646
epoch 20300  clean testing loss: 0.05480373650789261
epoch 20400  training loss: 0.04566504806280136

 21%|████████████████▌                                                               | 20772/100000 [01:51<07:27, 177.02it/s]
epoch 20500  training loss: 0.04670824110507965
epoch 20500  clean testing loss: 0.05605272203683853
epoch 20600  training loss: 0.04522603005170822
epoch 20600  clean testing loss: 0.05570072680711746
epoch 20700  training loss: 0.04539145156741142

 21%|████████████████▉                                                               | 21124/100000 [01:53<07:20, 179.15it/s]
epoch 20800  training loss: 0.050213273614645004
epoch 20800  clean testing loss: 0.0637645348906517
epoch 20900  training loss: 0.04506131261587143
epoch 20900  clean testing loss: 0.05547697842121124
epoch 21000  training loss: 0.04934913292527199
epoch 21000  clean testing loss: 0.05519360676407814
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 21100  training loss: 0.04462350532412529

 21%|█████████████████▏                                                              | 21475/100000 [01:55<07:30, 174.19it/s]
epoch 21200  training loss: 0.04442237317562103
epoch 21200  clean testing loss: 0.0555918924510479
epoch 21300  training loss: 0.04475347697734833
epoch 21300  clean testing loss: 0.05563491955399513
epoch 21400  training loss: 0.04433685168623924

 22%|█████████████████▍                                                              | 21828/100000 [01:57<07:21, 177.21it/s]
epoch 21500  training loss: 0.04437322914600372
epoch 21500  clean testing loss: 0.05602638050913811
epoch 21600  training loss: 0.044393278658390045
epoch 21600  clean testing loss: 0.05652758851647377
epoch 21700  training loss: 0.043960437178611755
epoch 21700  clean testing loss: 0.05678962916135788
epoch 21800  training loss: 0.045117978006601334

 22%|█████████████████▋                                                              | 22182/100000 [01:59<07:13, 179.59it/s]
epoch 21900  training loss: 0.04405674338340759
epoch 21900  clean testing loss: 0.05613837018609047
epoch 22000  training loss: 0.043746598064899445
epoch 22000  clean testing loss: 0.05701325461268425
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 22100  training loss: 0.04407911002635956

 23%|██████████████████                                                              | 22534/100000 [02:01<07:24, 174.17it/s]
epoch 22200  training loss: 0.0444859117269516
epoch 22200  clean testing loss: 0.059138089418411255
epoch 22300  training loss: 0.0447678342461586
epoch 22300  clean testing loss: 0.058170996606349945
epoch 22400  training loss: 0.04366553574800491
epoch 22400  clean testing loss: 0.058293841779232025
epoch 22500  training loss: 0.04348321631550789

 23%|██████████████████▎                                                             | 22888/100000 [02:03<07:15, 177.03it/s]
epoch 22600  training loss: 0.043340615928173065
epoch 22600  clean testing loss: 0.057452913373708725
epoch 22700  training loss: 0.04344959184527397
epoch 22700  clean testing loss: 0.057453662157058716
epoch 22800  training loss: 0.04331498593091965
epoch 22800  clean testing loss: 0.05934567376971245
epoch 22900  training loss: 0.04621827229857445

 23%|██████████████████▌                                                             | 23241/100000 [02:05<07:06, 179.88it/s]
epoch 23000  training loss: 0.04335121437907219
epoch 23000  clean testing loss: 0.057553209364414215
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 23100  training loss: 0.04303784668445587
epoch 23100  clean testing loss: 0.05768434330821037
epoch 23200  training loss: 0.04310613498091698

 24%|██████████████████▉                                                             | 23612/100000 [02:07<07:05, 179.70it/s]
epoch 23300  training loss: 0.04312311112880707
epoch 23300  clean testing loss: 0.060048479586839676
epoch 23400  training loss: 0.043424367904663086
epoch 23400  clean testing loss: 0.05782931670546532
epoch 23500  training loss: 0.04339649900794029
epoch 23500  clean testing loss: 0.05791137367486954
epoch 23600  training loss: 0.043245989829301834

 24%|███████████████████▏                                                            | 23963/100000 [02:09<07:14, 174.91it/s]
epoch 23700  training loss: 0.04269743710756302
epoch 23700  clean testing loss: 0.05815304443240166
epoch 23800  training loss: 0.042885422706604004
epoch 23800  clean testing loss: 0.05928376317024231
epoch 23900  training loss: 0.042863935232162476

 24%|███████████████████▍                                                            | 24318/100000 [02:11<07:05, 177.66it/s]
epoch 24000  training loss: 0.042911890894174576
epoch 24000  clean testing loss: 0.0589359812438488
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 24100  training loss: 0.04227059334516525
epoch 24100  clean testing loss: 0.05815977230668068
epoch 24200  training loss: 0.042210835963487625
epoch 24200  clean testing loss: 0.058549653738737106
epoch 24300  training loss: 0.04201893508434296

 25%|███████████████████▋                                                            | 24671/100000 [02:13<07:02, 178.30it/s]
epoch 24400  training loss: 0.0420924536883831
epoch 24400  clean testing loss: 0.058253515511751175
epoch 24500  training loss: 0.04211331531405449
epoch 24500  clean testing loss: 0.05931771546602249
epoch 24600  training loss: 0.04230687767267227

 25%|████████████████████                                                            | 25023/100000 [02:15<07:14, 172.47it/s]
epoch 24700  training loss: 0.04246894270181656
epoch 24700  clean testing loss: 0.05836204066872597
epoch 24800  training loss: 0.04188741743564606
epoch 24800  clean testing loss: 0.05841366946697235
epoch 24900  training loss: 0.04167209193110466
epoch 24900  clean testing loss: 0.059709642082452774
epoch 25000  training loss: 0.041743792593479156
epoch 25000  clean testing loss: 0.05882095545530319

 25%|████████████████████▎                                                           | 25376/100000 [02:17<07:00, 177.36it/s]
epoch 25100  training loss: 0.04184373840689659
epoch 25100  clean testing loss: 0.06093133985996246
epoch 25200  training loss: 0.04138326644897461
epoch 25200  clean testing loss: 0.058906447142362595
