
  1%|▌                                                                                | 689/100000 [00:01<03:13, 514.40it/s]
epoch 17000  clean testing loss: 2.6501080989837646
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 17100  training loss: 0.040946464985609055
epoch 17100  clean testing loss: 2.6581690311431885
epoch 17200  training loss: 0.04080438241362572
epoch 17200  clean testing loss: 2.66589093208313
epoch 17300  training loss: 0.040664270520210266
epoch 17300  clean testing loss: 2.673920154571533
epoch 17400  training loss: 0.04052533209323883
epoch 17400  clean testing loss: 2.6814703941345215
epoch 17500  training loss: 0.040393855422735214
epoch 17500  clean testing loss: 2.689035177230835
epoch 17600  training loss: 0.04024728387594223
epoch 17600  clean testing loss: 2.6977672576904297
epoch 17700  training loss: 0.0401107519865036

 19%|██████████████▋                                                                | 18610/100000 [00:45<02:59, 452.55it/s]
epoch 17800  training loss: 0.03997389227151871
epoch 17800  clean testing loss: 2.7136950492858887
epoch 17900  training loss: 0.03983838111162186
epoch 17900  clean testing loss: 2.7216367721557617
epoch 18000  training loss: 0.03970417380332947
epoch 18000  clean testing loss: 2.7296504974365234
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 18100  training loss: 0.039594247937202454
epoch 18100  clean testing loss: 2.7361226081848145
epoch 18200  training loss: 0.0394851416349411
epoch 18200  clean testing loss: 2.742586612701416
epoch 18300  training loss: 0.039375316351652145
epoch 18300  clean testing loss: 2.7490274906158447
epoch 18400  training loss: 0.0392647348344326
epoch 18400  clean testing loss: 2.7554500102996826
epoch 18500  training loss: 0.03915465623140335
epoch 18500  clean testing loss: 2.7618541717529297
epoch 18600  training loss: 0.03904447332024574

 19%|███████████████▍                                                               | 19472/100000 [00:47<03:05, 434.41it/s]
epoch 18700  training loss: 0.03893398493528366
epoch 18700  clean testing loss: 2.7747838497161865
epoch 18800  training loss: 0.03882325068116188
epoch 18800  clean testing loss: 2.781216859817505
epoch 18900  training loss: 0.03871316462755203
epoch 18900  clean testing loss: 2.787764310836792
epoch 19000  training loss: 0.03860415890812874
epoch 19000  clean testing loss: 2.794316053390503
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 19100  training loss: 0.03849533200263977
epoch 19100  clean testing loss: 2.800837278366089
epoch 19200  training loss: 0.03838660567998886
epoch 19200  clean testing loss: 2.807490587234497
epoch 19300  training loss: 0.03828580677509308
epoch 19300  clean testing loss: 2.813835620880127
epoch 19400  training loss: 0.03817790374159813
epoch 19400  clean testing loss: 2.8204259872436523
epoch 19500  training loss: 0.03810534253716469

 20%|████████████████                                                               | 20396/100000 [00:49<02:57, 447.31it/s]
epoch 19600  training loss: 0.037966180592775345
epoch 19600  clean testing loss: 2.83499813079834
epoch 19700  training loss: 0.03788256272673607
epoch 19700  clean testing loss: 2.8413870334625244
epoch 19800  training loss: 0.03776661306619644
epoch 19800  clean testing loss: 2.847928762435913
epoch 19900  training loss: 0.037668872624635696
epoch 19900  clean testing loss: 2.8545994758605957
epoch 20000  training loss: 0.03753325715661049
epoch 20000  clean testing loss: 2.8613760471343994
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 20100  training loss: 0.03744591772556305
epoch 20100  clean testing loss: 2.8680362701416016
epoch 20200  training loss: 0.03732435777783394
epoch 20200  clean testing loss: 2.8748586177825928
epoch 20300  training loss: 0.03722047433257103
epoch 20300  clean testing loss: 2.8817813396453857
epoch 20400  training loss: 0.037116944789886475

 21%|████████████████▉                                                              | 21362/100000 [00:51<02:27, 532.48it/s]
epoch 20500  training loss: 0.03701670467853546
epoch 20500  clean testing loss: 2.894932270050049
epoch 20600  training loss: 0.036913130432367325
epoch 20600  clean testing loss: 2.90215802192688
epoch 20700  training loss: 0.03681537136435509
epoch 20700  clean testing loss: 2.909355878829956
epoch 20800  training loss: 0.036731820553541183
epoch 20800  clean testing loss: 2.9150567054748535
epoch 20900  training loss: 0.036609698086977005
epoch 20900  clean testing loss: 2.923008441925049
epoch 21000  training loss: 0.036511678248643875
epoch 21000  clean testing loss: 2.9299590587615967
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 21100  training loss: 0.03642290458083153
epoch 21100  clean testing loss: 2.935837984085083
epoch 21200  training loss: 0.036341141909360886
epoch 21200  clean testing loss: 2.9414479732513428
epoch 21300  training loss: 0.03625873848795891
epoch 21300  clean testing loss: 2.947054862976074
epoch 21400  training loss: 0.03617573156952858

 22%|█████████████████▋                                                             | 22442/100000 [00:53<02:25, 532.26it/s]
epoch 21500  training loss: 0.03609339892864227
epoch 21500  clean testing loss: 2.9581732749938965
epoch 21600  training loss: 0.036009691655635834
epoch 21600  clean testing loss: 2.9639220237731934
epoch 21700  training loss: 0.03592658415436745
epoch 21700  clean testing loss: 2.9695777893066406
epoch 21800  training loss: 0.035844042897224426
epoch 21800  clean testing loss: 2.9752631187438965
epoch 21900  training loss: 0.03578916937112808
epoch 21900  clean testing loss: 2.980858087539673
epoch 22000  training loss: 0.03568658605217934
epoch 22000  clean testing loss: 2.987135887145996
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 22100  training loss: 0.03561171889305115
epoch 22100  clean testing loss: 2.9929370880126953
epoch 22200  training loss: 0.03551509976387024
epoch 22200  clean testing loss: 2.9983091354370117
epoch 22300  training loss: 0.0354330874979496
epoch 22300  clean testing loss: 3.0040459632873535
epoch 22400  training loss: 0.03540477156639099
 23%|██████████████████                                                             | 22874/100000 [00:54<02:24, 532.26it/s][34m[1mwandb[39m[22m: 429 encountered (Filestream rate limit exceeded, retrying in 2.0 seconds.), retrying request
 24%|██████████████████▌                                                            | 23522/100000 [00:55<02:24, 530.95it/s]
epoch 22500  training loss: 0.035270463675260544
epoch 22500  clean testing loss: 3.0157885551452637
epoch 22600  training loss: 0.03521735593676567
epoch 22600  clean testing loss: 3.0217294692993164
epoch 22700  training loss: 0.03513932228088379
epoch 22700  clean testing loss: 3.026578664779663
epoch 22800  training loss: 0.03503188118338585
epoch 22800  clean testing loss: 3.033214569091797
epoch 22900  training loss: 0.034995097666978836
epoch 22900  clean testing loss: 3.039641857147217
epoch 23000  training loss: 0.03487294912338257
epoch 23000  clean testing loss: 3.04555344581604
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 23100  training loss: 0.034789178520441055
epoch 23100  clean testing loss: 3.050868272781372
epoch 23200  training loss: 0.03473452851176262
epoch 23200  clean testing loss: 3.0562877655029297
epoch 23300  training loss: 0.03463054448366165
epoch 23300  clean testing loss: 3.0627248287200928
epoch 23400  training loss: 0.03455180674791336
epoch 23400  clean testing loss: 3.0685017108917236
epoch 23500  training loss: 0.03448208048939705

 25%|███████████████████▍                                                           | 24601/100000 [00:57<02:22, 530.87it/s]
epoch 23600  training loss: 0.03439784422516823
epoch 23600  clean testing loss: 3.080118417739868
epoch 23700  training loss: 0.034322455525398254
epoch 23700  clean testing loss: 3.0853097438812256
epoch 23800  training loss: 0.03424063324928284
epoch 23800  clean testing loss: 3.0918240547180176
epoch 23900  training loss: 0.034163545817136765
epoch 23900  clean testing loss: 3.097538948059082
epoch 24000  training loss: 0.034087736159563065
epoch 24000  clean testing loss: 3.1031854152679443
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 24100  training loss: 0.034025002270936966
epoch 24100  clean testing loss: 3.108102560043335
epoch 24200  training loss: 0.03396306186914444
epoch 24200  clean testing loss: 3.112758159637451
epoch 24300  training loss: 0.0339006707072258
epoch 24300  clean testing loss: 3.1173810958862305
epoch 24400  training loss: 0.033837851136922836
epoch 24400  clean testing loss: 3.12198805809021
epoch 24500  training loss: 0.033774469047784805
epoch 24500  clean testing loss: 3.126582145690918
epoch 24600  training loss: 0.03371131792664528

 25%|███████████████████▉                                                           | 25200/100000 [00:58<02:54, 428.22it/s]
epoch 24700  training loss: 0.03364814445376396
epoch 24700  clean testing loss: 3.135669469833374
epoch 24800  training loss: 0.0335845910012722
epoch 24800  clean testing loss: 3.1402812004089355
epoch 24900  training loss: 0.03352169319987297
epoch 24900  clean testing loss: 3.144857168197632
epoch 25000  training loss: 0.03345877677202225
epoch 25000  clean testing loss: 3.14939022064209
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
epoch 25100  training loss: 0.03339596837759018
epoch 25100  clean testing loss: 3.1538939476013184
epoch 25200  training loss: 0.033333539962768555
epoch 25200  clean testing loss: 3.158353567123413
Validation loss variation < 1e-6, trained to interpolation, stop
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise5.00e-01_invop0 ...
