
  0%|                                                                                                 | 0/100000 [00:00<?, ?it/s]
epoch 5400  clean testing loss: 0.055536799132823944
epoch 5500  training loss: 0.07905364036560059
epoch 5500  clean testing loss: 0.037878602743148804
epoch 5600  training loss: 0.0911928191781044
epoch 5600  clean testing loss: 0.04583491384983063
epoch 5700  training loss: 0.07802986353635788

  6%|█████▍                                                                               | 6370/100000 [00:21<04:45, 328.38it/s]
epoch 5800  training loss: 0.07914545387029648
epoch 5800  clean testing loss: 0.04180969297885895
epoch 5900  training loss: 0.09269846230745316
epoch 5900  clean testing loss: 0.047405634075403214
epoch 6000  training loss: 0.07972092181444168
epoch 6000  clean testing loss: 0.04063614085316658
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 6100  training loss: 0.07590717077255249
epoch 6100  clean testing loss: 0.04133191332221031
epoch 6200  training loss: 0.12331505864858627
epoch 6200  clean testing loss: 0.05272713303565979
epoch 6300  training loss: 0.07951527833938599

  7%|█████▉                                                                               | 7035/100000 [00:23<04:47, 323.55it/s]
epoch 6400  training loss: 0.07923277467489243
epoch 6400  clean testing loss: 0.0424497127532959
epoch 6500  training loss: 0.08896046876907349
epoch 6500  clean testing loss: 0.04068891331553459
epoch 6600  training loss: 0.074855275452137
epoch 6600  clean testing loss: 0.04183617979288101
epoch 6700  training loss: 0.07383609563112259
epoch 6700  clean testing loss: 0.04391949251294136
epoch 6800  training loss: 0.1255025714635849
epoch 6800  clean testing loss: 0.06272793561220169
epoch 6900  training loss: 0.09466875344514847
epoch 6900  clean testing loss: 0.045436084270477295
epoch 7000  training loss: 0.08309376984834671
epoch 7000  clean testing loss: 0.04532447084784508

  8%|██████▌                                                                              | 7666/100000 [00:25<04:43, 325.34it/s]
epoch 7100  training loss: 0.07687059044837952
epoch 7100  clean testing loss: 0.044482141733169556
epoch 7200  training loss: 0.08156825602054596
epoch 7200  clean testing loss: 0.04363596439361572
epoch 7300  training loss: 0.07404246926307678
epoch 7300  clean testing loss: 0.04446739703416824
epoch 7400  training loss: 0.07419761270284653
epoch 7400  clean testing loss: 0.04488007724285126
epoch 7500  training loss: 0.07306888699531555
epoch 7500  clean testing loss: 0.04573903977870941
epoch 7600  training loss: 0.08005709201097488

  8%|███████                                                                              | 8333/100000 [00:27<04:41, 325.92it/s]
epoch 7700  training loss: 0.07215219736099243
epoch 7700  clean testing loss: 0.045806244015693665
epoch 7800  training loss: 0.07192500680685043
epoch 7800  clean testing loss: 0.04587661847472191
epoch 7900  training loss: 0.07051527500152588
epoch 7900  clean testing loss: 0.04588485509157181
epoch 8000  training loss: 0.08634678274393082
epoch 8000  clean testing loss: 0.0535915233194828
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 8100  training loss: 0.07345233112573624
epoch 8100  clean testing loss: 0.04779151454567909
epoch 8200  training loss: 0.07026895135641098
epoch 8200  clean testing loss: 0.04645136743783951
epoch 8300  training loss: 0.07071565091609955

  9%|███████▋                                                                             | 8995/100000 [00:29<04:37, 327.84it/s]
epoch 8400  training loss: 0.07180681079626083
epoch 8400  clean testing loss: 0.05210462585091591
epoch 8500  training loss: 0.06802873313426971
epoch 8500  clean testing loss: 0.047447096556425095
epoch 8600  training loss: 0.074196957051754
epoch 8600  clean testing loss: 0.04711385443806648
epoch 8700  training loss: 0.07452809065580368
epoch 8700  clean testing loss: 0.047395020723342896
epoch 8800  training loss: 0.0673048123717308
epoch 8800  clean testing loss: 0.047933924943208694
epoch 8900  training loss: 0.06910094618797302
epoch 8900  clean testing loss: 0.05066230893135071
epoch 9000  training loss: 0.07844734936952591
epoch 9000  clean testing loss: 0.04918534308671951

 10%|████████▏                                                                            | 9626/100000 [00:31<04:35, 327.50it/s]
epoch 9100  training loss: 0.06664624810218811
epoch 9100  clean testing loss: 0.049242984503507614
epoch 9200  training loss: 0.06612401455640793
epoch 9200  clean testing loss: 0.050497859716415405
epoch 9300  training loss: 0.06580822914838791
epoch 9300  clean testing loss: 0.05193847417831421
epoch 9400  training loss: 0.0680289939045906
epoch 9400  clean testing loss: 0.05012555420398712
epoch 9500  training loss: 0.06476522237062454
epoch 9500  clean testing loss: 0.05068926513195038
epoch 9600  training loss: 0.06650175899267197

 10%|████████▋                                                                           | 10290/100000 [00:33<04:33, 328.02it/s]
epoch 9700  training loss: 0.06427856534719467
epoch 9700  clean testing loss: 0.0533740259706974
epoch 9800  training loss: 0.06513702124357224
epoch 9800  clean testing loss: 0.05399041250348091
epoch 9900  training loss: 0.06483728438615799
epoch 9900  clean testing loss: 0.057165760546922684
epoch 10000  training loss: 0.06718020141124725
epoch 10000  clean testing loss: 0.055001385509967804
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 10100  training loss: 0.06312071532011032
epoch 10100  clean testing loss: 0.0527164526283741
epoch 10200  training loss: 0.07715151458978653
epoch 10200  clean testing loss: 0.05626456066966057
epoch 10300  training loss: 0.06546881049871445

 11%|█████████▏                                                                          | 10951/100000 [00:35<04:33, 326.02it/s]
epoch 10400  training loss: 0.075980044901371
epoch 10400  clean testing loss: 0.05357091501355171
epoch 10500  training loss: 0.06983400881290436
epoch 10500  clean testing loss: 0.05330188572406769
epoch 10600  training loss: 0.06162499263882637
epoch 10600  clean testing loss: 0.05382038652896881
epoch 10700  training loss: 0.06852898001670837
epoch 10700  clean testing loss: 0.05480392277240753
epoch 10800  training loss: 0.06147686019539833
epoch 10800  clean testing loss: 0.05482379347085953
epoch 10900  training loss: 0.06115750968456268

 12%|█████████▊                                                                          | 11614/100000 [00:37<04:31, 325.03it/s]
epoch 11000  training loss: 0.06117763742804527
epoch 11000  clean testing loss: 0.05727410316467285
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 11100  training loss: 0.06055242568254471
epoch 11100  clean testing loss: 0.05584477260708809
epoch 11200  training loss: 0.06005752086639404
epoch 11200  clean testing loss: 0.05522691458463669
epoch 11300  training loss: 0.0705280676484108
epoch 11300  clean testing loss: 0.06301870942115784
epoch 11400  training loss: 0.05969490855932236
epoch 11400  clean testing loss: 0.057367704808712006
epoch 11500  training loss: 0.0617322213947773
epoch 11500  clean testing loss: 0.05719076842069626
epoch 11600  training loss: 0.060346804559230804

 12%|██████████▎                                                                         | 12245/100000 [00:39<04:26, 329.08it/s]
epoch 11700  training loss: 0.06605296581983566
epoch 11700  clean testing loss: 0.05665815249085426
epoch 11800  training loss: 0.06314998120069504
epoch 11800  clean testing loss: 0.05901448056101799
epoch 11900  training loss: 0.057902101427316666
epoch 11900  clean testing loss: 0.062228668481111526
epoch 12000  training loss: 0.059473104774951935
epoch 12000  clean testing loss: 0.059251055121421814
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 12100  training loss: 0.057097017765045166
epoch 12100  clean testing loss: 0.0590561144053936
epoch 12200  training loss: 0.056628238409757614

 13%|██████████▊                                                                         | 12908/100000 [00:41<04:26, 326.96it/s]
epoch 12300  training loss: 0.05654516816139221
epoch 12300  clean testing loss: 0.06089396774768829
epoch 12400  training loss: 0.05609076842665672
epoch 12400  clean testing loss: 0.06127770617604256
epoch 12500  training loss: 0.05755778029561043
epoch 12500  clean testing loss: 0.060661569237709045
epoch 12600  training loss: 0.057101089507341385
epoch 12600  clean testing loss: 0.06315291672945023
epoch 12700  training loss: 0.05510534718632698
epoch 12700  clean testing loss: 0.062174975872039795
epoch 12800  training loss: 0.055766940116882324
epoch 12800  clean testing loss: 0.06294946372509003
epoch 12900  training loss: 0.05684182420372963

 14%|███████████▍                                                                        | 13571/100000 [00:43<04:25, 325.15it/s]
epoch 13000  training loss: 0.054366447031497955
epoch 13000  clean testing loss: 0.06346157938241959
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 13100  training loss: 0.05360228195786476
epoch 13100  clean testing loss: 0.06471610069274902
epoch 13200  training loss: 0.06291966885328293
epoch 13200  clean testing loss: 0.06747494637966156
epoch 13300  training loss: 0.05350834131240845
epoch 13300  clean testing loss: 0.06688925623893738
epoch 13400  training loss: 0.05757012963294983
epoch 13400  clean testing loss: 0.0636821910738945
epoch 13500  training loss: 0.05942827835679054

 14%|███████████▉                                                                        | 14200/100000 [00:45<04:21, 327.98it/s]
epoch 13600  training loss: 0.053329966962337494
epoch 13600  clean testing loss: 0.06543520838022232
epoch 13700  training loss: 0.0529523640871048
epoch 13700  clean testing loss: 0.06567994505167007
epoch 13800  training loss: 0.055342838168144226
epoch 13800  clean testing loss: 0.06431473046541214
epoch 13900  training loss: 0.052135348320007324
epoch 13900  clean testing loss: 0.06686139851808548
epoch 14000  training loss: 0.05193975195288658
epoch 14000  clean testing loss: 0.0682448297739029
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 14100  training loss: 0.05588070675730705
epoch 14100  clean testing loss: 0.06978601217269897
epoch 14200  training loss: 0.05286465212702751

 15%|████████████▍                                                                       | 14864/100000 [00:47<04:20, 327.23it/s]
epoch 14300  training loss: 0.05195363983511925
epoch 14300  clean testing loss: 0.06774134933948517
epoch 14400  training loss: 0.05137353762984276
epoch 14400  clean testing loss: 0.06733258068561554
epoch 14500  training loss: 0.05515490472316742
epoch 14500  clean testing loss: 0.07298202812671661
epoch 14600  training loss: 0.05203762650489807
epoch 14600  clean testing loss: 0.06836161762475967
epoch 14700  training loss: 0.05148531496524811
epoch 14700  clean testing loss: 0.07079868018627167
epoch 14800  training loss: 0.05137275531888008

 16%|█████████████                                                                       | 15527/100000 [00:49<04:18, 326.53it/s]
epoch 14900  training loss: 0.05049629509449005
epoch 14900  clean testing loss: 0.0691266804933548
epoch 15000  training loss: 0.054927606135606766
epoch 15000  clean testing loss: 0.06843885034322739
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 15100  training loss: 0.049998193979263306
epoch 15100  clean testing loss: 0.06938638538122177
epoch 15200  training loss: 0.04984439164400101
epoch 15200  clean testing loss: 0.06978809088468552
epoch 15300  training loss: 0.049901656806468964
epoch 15300  clean testing loss: 0.0700288712978363
epoch 15400  training loss: 0.04990188777446747
epoch 15400  clean testing loss: 0.07099605351686478
epoch 15500  training loss: 0.049375858157873154

 16%|█████████████▌                                                                      | 16159/100000 [00:51<04:15, 328.11it/s]
epoch 15600  training loss: 0.04889697581529617
epoch 15600  clean testing loss: 0.07101822644472122
epoch 15700  training loss: 0.050288502126932144
epoch 15700  clean testing loss: 0.0711076632142067
epoch 15800  training loss: 0.056158702820539474
epoch 15800  clean testing loss: 0.07231983542442322
epoch 15900  training loss: 0.05194060131907463
epoch 15900  clean testing loss: 0.0735875815153122
epoch 16000  training loss: 0.048516999930143356
epoch 16000  clean testing loss: 0.07269992679357529
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 16100  training loss: 0.04923466965556145

 17%|██████████████▏                                                                     | 16823/100000 [00:53<04:14, 326.29it/s]
epoch 16200  training loss: 0.05239003151655197
epoch 16200  clean testing loss: 0.07271803915500641
epoch 16300  training loss: 0.048051267862319946
epoch 16300  clean testing loss: 0.07268209755420685
epoch 16400  training loss: 0.04804479330778122
epoch 16400  clean testing loss: 0.07440442591905594
epoch 16500  training loss: 0.05454244464635849
epoch 16500  clean testing loss: 0.08658768236637115
epoch 16600  training loss: 0.047895144671201706
epoch 16600  clean testing loss: 0.07387552410364151
epoch 16700  training loss: 0.047649942338466644
epoch 16700  clean testing loss: 0.07473164796829224
epoch 16800  training loss: 0.04891853407025337

 17%|██████████████▋                                                                     | 17489/100000 [00:55<04:13, 326.12it/s]
epoch 16900  training loss: 0.047537196427583694
epoch 16900  clean testing loss: 0.07510081678628922
epoch 17000  training loss: 0.048363786190748215
epoch 17000  clean testing loss: 0.07407521456480026
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 17100  training loss: 0.04973021149635315
epoch 17100  clean testing loss: 0.0758170485496521
epoch 17200  training loss: 0.04853127896785736
epoch 17200  clean testing loss: 0.07359758019447327
epoch 17300  training loss: 0.047098927199840546
epoch 17300  clean testing loss: 0.07540635019540787
epoch 17400  training loss: 0.04797055199742317

 18%|███████████████▏                                                                    | 18119/100000 [00:57<04:13, 323.51it/s]
epoch 17500  training loss: 0.04706255719065666
epoch 17500  clean testing loss: 0.07538406550884247
epoch 17600  training loss: 0.04781530052423477
epoch 17600  clean testing loss: 0.07819490134716034
epoch 17700  training loss: 0.04697088897228241
epoch 17700  clean testing loss: 0.07515822350978851
epoch 17800  training loss: 0.04774892330169678
epoch 17800  clean testing loss: 0.07550898939371109
epoch 17900  training loss: 0.046381961554288864
epoch 17900  clean testing loss: 0.07658818364143372
epoch 18000  training loss: 0.04611138999462128
epoch 18000  clean testing loss: 0.07630159705877304
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 18100  training loss: 0.04585391283035278

 19%|███████████████▊                                                                    | 18780/100000 [00:59<04:08, 326.34it/s]
epoch 18200  training loss: 0.04556087777018547
epoch 18200  clean testing loss: 0.07683435082435608
epoch 18300  training loss: 0.04540982097387314
epoch 18300  clean testing loss: 0.07746008783578873
epoch 18400  training loss: 0.04522717371582985
epoch 18400  clean testing loss: 0.07808288931846619
epoch 18500  training loss: 0.04559633880853653
epoch 18500  clean testing loss: 0.07957253605127335
epoch 18600  training loss: 0.0464806891977787
epoch 18600  clean testing loss: 0.07861710339784622
epoch 18700  training loss: 0.04488151893019676

 19%|████████████████▎                                                                   | 19443/100000 [01:01<04:06, 327.19it/s]
epoch 18800  training loss: 0.04516169801354408
epoch 18800  clean testing loss: 0.08061949908733368
epoch 18900  training loss: 0.04488159343600273
epoch 18900  clean testing loss: 0.07943832129240036
epoch 19000  training loss: 0.04462326690554619
epoch 19000  clean testing loss: 0.07994738966226578
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 19100  training loss: 0.046309348195791245
epoch 19100  clean testing loss: 0.08406893163919449
epoch 19200  training loss: 0.04541783034801483
epoch 19200  clean testing loss: 0.08060851693153381
epoch 19300  training loss: 0.04427911713719368
epoch 19300  clean testing loss: 0.07989586889743805
epoch 19400  training loss: 0.044484492391347885

 20%|████████████████▊                                                                   | 20073/100000 [01:03<04:06, 324.71it/s]
epoch 19500  training loss: 0.04664735496044159
epoch 19500  clean testing loss: 0.07960598915815353
epoch 19600  training loss: 0.04401804879307747
epoch 19600  clean testing loss: 0.08015163242816925
epoch 19700  training loss: 0.044813983142375946
epoch 19700  clean testing loss: 0.08152461796998978
epoch 19800  training loss: 0.04397576302289963
epoch 19800  clean testing loss: 0.08171966671943665
epoch 19900  training loss: 0.04409100487828255
epoch 19900  clean testing loss: 0.08156763762235641
epoch 20000  training loss: 0.04373688995838165
epoch 20000  clean testing loss: 0.08087373524904251

 21%|█████████████████▍                                                                  | 20735/100000 [01:05<04:03, 325.63it/s]
epoch 20100  training loss: 0.04395222291350365
epoch 20100  clean testing loss: 0.08196103572845459
epoch 20200  training loss: 0.045092638581991196
epoch 20200  clean testing loss: 0.08461691439151764
epoch 20300  training loss: 0.04371580109000206
epoch 20300  clean testing loss: 0.0819990411400795
epoch 20400  training loss: 0.04341113567352295
epoch 20400  clean testing loss: 0.08188610523939133
epoch 20500  training loss: 0.04382440447807312
epoch 20500  clean testing loss: 0.08339890092611313
epoch 20600  training loss: 0.043089210987091064
epoch 20600  clean testing loss: 0.082978755235672
epoch 20700  training loss: 0.04325195401906967

 21%|█████████████████▉                                                                  | 21402/100000 [01:07<03:59, 327.50it/s]
epoch 20800  training loss: 0.04490837827324867
epoch 20800  clean testing loss: 0.08653136342763901
epoch 20900  training loss: 0.046625230461359024
epoch 20900  clean testing loss: 0.08876792341470718
epoch 21000  training loss: 0.043113917112350464
epoch 21000  clean testing loss: 0.08275200426578522
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 21100  training loss: 0.04273594915866852
epoch 21100  clean testing loss: 0.08426153659820557
epoch 21200  training loss: 0.04260991886258125
epoch 21200  clean testing loss: 0.08425218611955643
epoch 21300  training loss: 0.042509716004133224

 22%|██████████████████▌                                                                 | 22034/100000 [01:09<04:01, 322.73it/s]
epoch 21400  training loss: 0.042671140283346176
epoch 21400  clean testing loss: 0.08522669225931168
epoch 21500  training loss: 0.04256271943449974
epoch 21500  clean testing loss: 0.08511174470186234
epoch 21600  training loss: 0.042349159717559814
epoch 21600  clean testing loss: 0.08564043790102005
epoch 21700  training loss: 0.04224057123064995
epoch 21700  clean testing loss: 0.08606687933206558
epoch 21800  training loss: 0.04279403015971184
epoch 21800  clean testing loss: 0.0858277976512909
epoch 21900  training loss: 0.04236312583088875
epoch 21900  clean testing loss: 0.0851885974407196
epoch 22000  training loss: 0.04195227846503258
epoch 22000  clean testing loss: 0.08609373867511749

 23%|███████████████████                                                                 | 22699/100000 [01:11<03:57, 326.02it/s]
epoch 22100  training loss: 0.04228910431265831
epoch 22100  clean testing loss: 0.08618710935115814
epoch 22200  training loss: 0.04305202141404152
epoch 22200  clean testing loss: 0.08815048635005951
epoch 22300  training loss: 0.04183126986026764
epoch 22300  clean testing loss: 0.0880274847149849
epoch 22400  training loss: 0.04207676276564598
epoch 22400  clean testing loss: 0.08748108893632889
epoch 22500  training loss: 0.04197605699300766
epoch 22500  clean testing loss: 0.0867040678858757
epoch 22600  training loss: 0.04288169741630554

 23%|███████████████████▌                                                                | 23359/100000 [01:13<03:55, 326.07it/s]
epoch 22700  training loss: 0.04150862246751785
epoch 22700  clean testing loss: 0.08688601851463318
epoch 22800  training loss: 0.04186555743217468
epoch 22800  clean testing loss: 0.08783596009016037
epoch 22900  training loss: 0.04151775687932968
epoch 22900  clean testing loss: 0.08791026473045349
epoch 23000  training loss: 0.041835710406303406
epoch 23000  clean testing loss: 0.08967115730047226
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 23100  training loss: 0.04189346358180046
epoch 23100  clean testing loss: 0.08777589350938797
epoch 23200  training loss: 0.04340890049934387
epoch 23200  clean testing loss: 0.09255536645650864
epoch 23300  training loss: 0.04157918691635132

 24%|████████████████████▏                                                               | 24021/100000 [01:16<03:55, 322.23it/s]
epoch 23400  training loss: 0.04134709760546684
epoch 23400  clean testing loss: 0.08952272683382034
epoch 23500  training loss: 0.041286151856184006
epoch 23500  clean testing loss: 0.08889143913984299
epoch 23600  training loss: 0.041183847934007645
epoch 23600  clean testing loss: 0.08800957351922989
epoch 23700  training loss: 0.04165634512901306
epoch 23700  clean testing loss: 0.08907504379749298
epoch 23800  training loss: 0.04095609486103058
epoch 23800  clean testing loss: 0.0890343189239502
epoch 23900  training loss: 0.040939636528491974

 25%|████████████████████▋                                                               | 24652/100000 [01:17<03:48, 329.03it/s]
epoch 24000  training loss: 0.04145872965455055
epoch 24000  clean testing loss: 0.08874019980430603
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 24100  training loss: 0.04075777903199196
epoch 24100  clean testing loss: 0.08944743126630783
epoch 24200  training loss: 0.040658656507730484
epoch 24200  clean testing loss: 0.0898999571800232
epoch 24300  training loss: 0.0408167727291584
epoch 24300  clean testing loss: 0.09012357890605927
epoch 24400  training loss: 0.04041863605380058
epoch 24400  clean testing loss: 0.08960097283124924
epoch 24500  training loss: 0.04041852429509163
epoch 24500  clean testing loss: 0.0898076519370079
epoch 24600  training loss: 0.040710367262363434

 25%|█████████████████████▎                                                              | 25317/100000 [01:20<03:48, 326.26it/s]
epoch 24700  training loss: 0.04040229320526123
epoch 24700  clean testing loss: 0.09099643677473068
epoch 24800  training loss: 0.04024079442024231
epoch 24800  clean testing loss: 0.09116865694522858
epoch 24900  training loss: 0.04053279384970665
epoch 24900  clean testing loss: 0.09213338792324066
epoch 25000  training loss: 0.04015084728598595
epoch 25000  clean testing loss: 0.09183336049318314
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 25100  training loss: 0.04112625494599342
epoch 25100  clean testing loss: 0.09108947962522507
epoch 25200  training loss: 0.04059940204024315
epoch 25200  clean testing loss: 0.09201973676681519
epoch 25300  training loss: 0.043629758059978485

 26%|█████████████████████▊                                                              | 25980/100000 [01:22<03:47, 325.63it/s]
epoch 25400  training loss: 0.04018682241439819
epoch 25400  clean testing loss: 0.0920867845416069
epoch 25500  training loss: 0.03986480087041855
epoch 25500  clean testing loss: 0.0929894745349884
epoch 25600  training loss: 0.03989066556096077
epoch 25600  clean testing loss: 0.09224523603916168
epoch 25700  training loss: 0.03981059417128563
epoch 25700  clean testing loss: 0.09259478002786636
epoch 25800  training loss: 0.03981933370232582
epoch 25800  clean testing loss: 0.09459343552589417
epoch 25900  training loss: 0.0404646098613739

 27%|██████████████████████▍                                                             | 26643/100000 [01:24<03:44, 327.16it/s]
epoch 26000  training loss: 0.03968567028641701
epoch 26000  clean testing loss: 0.09371227025985718
Saving the clean test loss file into log/new_plot/output_dim2_width1024_layers3_relu_size500_noise1.00e-01_invop0_lr0.005 ...
epoch 26100  training loss: 0.04018183425068855
epoch 26100  clean testing loss: 0.0940735787153244
epoch 26200  training loss: 0.04015318304300308
epoch 26200  clean testing loss: 0.09455409646034241
