
  1%|▌                                                                                | 691/100000 [00:01<03:11, 517.88it/s]
epoch 11500  clean testing loss: 0.9324609637260437
epoch 11600  training loss: 0.046513307839632034
epoch 11600  clean testing loss: 0.9364778399467468
epoch 11700  training loss: 0.046215686947107315
epoch 11700  clean testing loss: 0.940547525882721
epoch 11800  training loss: 0.04592301696538925
epoch 11800  clean testing loss: 0.9446139335632324
epoch 11900  training loss: 0.04563372954726219
epoch 11900  clean testing loss: 0.9486910700798035
epoch 12000  training loss: 0.0453498400747776
epoch 12000  clean testing loss: 0.9524592757225037

 13%|██████████                                                                     | 12770/100000 [00:31<03:39, 398.12it/s]
epoch 12100  training loss: 0.0451226606965065
epoch 12100  clean testing loss: 0.9558668732643127
epoch 12200  training loss: 0.04489712789654732
epoch 12200  clean testing loss: 0.9590358734130859
epoch 12300  training loss: 0.04467190057039261
epoch 12300  clean testing loss: 0.962155818939209
epoch 12400  training loss: 0.044446930289268494
epoch 12400  clean testing loss: 0.9652512073516846
epoch 12500  training loss: 0.04422352835536003
epoch 12500  clean testing loss: 0.9682862758636475
epoch 12600  training loss: 0.04400137811899185
epoch 12600  clean testing loss: 0.9714574217796326
epoch 12700  training loss: 0.0437796488404274
epoch 12700  clean testing loss: 0.9748709201812744
epoch 12800  training loss: 0.043562356382608414

 14%|██████████▋                                                                    | 13573/100000 [00:33<03:37, 397.37it/s]
epoch 12900  training loss: 0.043344881385564804
epoch 12900  clean testing loss: 0.9815232753753662
epoch 13000  training loss: 0.04312945157289505
epoch 13000  clean testing loss: 0.9850599765777588
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 13100  training loss: 0.04291585832834244
epoch 13100  clean testing loss: 0.9886185526847839
epoch 13200  training loss: 0.042706772685050964
epoch 13200  clean testing loss: 0.9921600818634033
epoch 13300  training loss: 0.042492255568504333
epoch 13300  clean testing loss: 0.9961107969284058
epoch 13400  training loss: 0.04228387773036957
epoch 13400  clean testing loss: 0.9999107122421265
epoch 13500  training loss: 0.042077209800481796
epoch 13500  clean testing loss: 1.003881812095642
epoch 13600  training loss: 0.04187299683690071

 14%|███████████▎                                                                   | 14377/100000 [00:35<03:34, 398.56it/s]
epoch 13700  training loss: 0.041680749505758286
epoch 13700  clean testing loss: 1.011798620223999
epoch 13800  training loss: 0.04146958887577057
epoch 13800  clean testing loss: 1.0159403085708618
epoch 13900  training loss: 0.04127291217446327
epoch 13900  clean testing loss: 1.0199905633926392
epoch 14000  training loss: 0.04107261076569557
epoch 14000  clean testing loss: 1.0244324207305908
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 14100  training loss: 0.040876708924770355
epoch 14100  clean testing loss: 1.0287880897521973
epoch 14200  training loss: 0.0406845323741436
epoch 14200  clean testing loss: 1.0329482555389404
epoch 14300  training loss: 0.040510986000299454
epoch 14300  clean testing loss: 1.0372884273529053
epoch 14400  training loss: 0.04030065983533859

 15%|███████████▉                                                                   | 15180/100000 [00:37<03:34, 396.28it/s]
epoch 14500  training loss: 0.04011259227991104
epoch 14500  clean testing loss: 1.046658992767334
epoch 14600  training loss: 0.03992669656872749
epoch 14600  clean testing loss: 1.0513951778411865
epoch 14700  training loss: 0.039739497005939484
epoch 14700  clean testing loss: 1.0560908317565918
epoch 14800  training loss: 0.03955589607357979
epoch 14800  clean testing loss: 1.0608032941818237
epoch 14900  training loss: 0.039374642074108124
epoch 14900  clean testing loss: 1.0655548572540283
epoch 15000  training loss: 0.039193399250507355
epoch 15000  clean testing loss: 1.0704636573791504
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 15100  training loss: 0.03904947265982628
epoch 15100  clean testing loss: 1.0744454860687256
epoch 15200  training loss: 0.03890558332204819

 16%|████████████▋                                                                  | 15984/100000 [00:39<03:31, 397.38it/s]
epoch 15300  training loss: 0.038761597126722336
epoch 15300  clean testing loss: 1.0824687480926514
epoch 15400  training loss: 0.038617465645074844
epoch 15400  clean testing loss: 1.086548924446106
epoch 15500  training loss: 0.03847651183605194
epoch 15500  clean testing loss: 1.090606689453125
epoch 15600  training loss: 0.038330815732479095
epoch 15600  clean testing loss: 1.094763994216919
epoch 15700  training loss: 0.03818890079855919
epoch 15700  clean testing loss: 1.0989165306091309
epoch 15800  training loss: 0.03804794326424599
epoch 15800  clean testing loss: 1.1030536890029907
epoch 15900  training loss: 0.037909720093011856
epoch 15900  clean testing loss: 1.1070247888565063
epoch 16000  training loss: 0.03776845335960388
epoch 16000  clean testing loss: 1.1114345788955688

 17%|█████████████▎                                                                 | 16834/100000 [00:41<03:03, 452.95it/s]
epoch 16100  training loss: 0.037629954516887665
epoch 16100  clean testing loss: 1.115586757659912
epoch 16200  training loss: 0.03749256953597069
epoch 16200  clean testing loss: 1.119713306427002
epoch 16300  training loss: 0.03735632821917534
epoch 16300  clean testing loss: 1.1237390041351318
epoch 16400  training loss: 0.03722564876079559
epoch 16400  clean testing loss: 1.1280930042266846
epoch 16500  training loss: 0.03708894923329353
epoch 16500  clean testing loss: 1.1320745944976807
epoch 16600  training loss: 0.036953896284103394
epoch 16600  clean testing loss: 1.1362431049346924
epoch 16700  training loss: 0.03681783005595207
epoch 16700  clean testing loss: 1.1403142213821411
epoch 16800  training loss: 0.036685917526483536

 18%|█████████████▉                                                                 | 17698/100000 [00:43<02:58, 460.88it/s]
epoch 16900  training loss: 0.03656480833888054
epoch 16900  clean testing loss: 1.1482652425765991
epoch 17000  training loss: 0.03642808273434639
epoch 17000  clean testing loss: 1.1522589921951294
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 17100  training loss: 0.03629353642463684
epoch 17100  clean testing loss: 1.1561800241470337
epoch 17200  training loss: 0.03616519644856453
epoch 17200  clean testing loss: 1.1600755453109741
epoch 17300  training loss: 0.03603724017739296
epoch 17300  clean testing loss: 1.16391122341156
epoch 17400  training loss: 0.035909902304410934
epoch 17400  clean testing loss: 1.167832851409912
epoch 17500  training loss: 0.03579246997833252
epoch 17500  clean testing loss: 1.1716660261154175
epoch 17600  training loss: 0.0356612503528595
epoch 17600  clean testing loss: 1.1754332780838013
epoch 17700  training loss: 0.03553179278969765

 19%|██████████████▋                                                                | 18612/100000 [00:45<03:01, 449.06it/s]
epoch 17800  training loss: 0.03540756553411484
epoch 17800  clean testing loss: 1.1827250719070435
epoch 17900  training loss: 0.03528323397040367
epoch 17900  clean testing loss: 1.186578392982483
epoch 18000  training loss: 0.03517092764377594
epoch 18000  clean testing loss: 1.190208911895752
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 18100  training loss: 0.035062097012996674
epoch 18100  clean testing loss: 1.1931294202804565
epoch 18200  training loss: 0.03496367111802101
epoch 18200  clean testing loss: 1.1960084438323975
epoch 18300  training loss: 0.03486494719982147
epoch 18300  clean testing loss: 1.1988543272018433
epoch 18400  training loss: 0.03476588428020477
epoch 18400  clean testing loss: 1.2016710042953491
epoch 18500  training loss: 0.034668825566768646
epoch 18500  clean testing loss: 1.2045727968215942
epoch 18600  training loss: 0.034567948430776596

 19%|███████████████▍                                                               | 19475/100000 [00:47<03:02, 441.53it/s]
epoch 18700  training loss: 0.03447476029396057
epoch 18700  clean testing loss: 1.2099268436431885
epoch 18800  training loss: 0.03437243774533272
epoch 18800  clean testing loss: 1.212695598602295
epoch 18900  training loss: 0.03427433967590332
epoch 18900  clean testing loss: 1.215349555015564
epoch 19000  training loss: 0.03418493643403053
epoch 19000  clean testing loss: 1.2181072235107422
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 19100  training loss: 0.03408171609044075
epoch 19100  clean testing loss: 1.2206450700759888
epoch 19200  training loss: 0.03398422524333
epoch 19200  clean testing loss: 1.2232675552368164
epoch 19300  training loss: 0.03388841077685356
epoch 19300  clean testing loss: 1.2258251905441284
epoch 19400  training loss: 0.03379371762275696
epoch 19400  clean testing loss: 1.2283101081848145
epoch 19500  training loss: 0.0337001197040081

 20%|████████████████                                                               | 20399/100000 [00:49<02:56, 450.71it/s]
epoch 19600  training loss: 0.033602893352508545
epoch 19600  clean testing loss: 1.233415961265564
epoch 19700  training loss: 0.033508483320474625
epoch 19700  clean testing loss: 1.2358826398849487
epoch 19800  training loss: 0.033414971083402634
epoch 19800  clean testing loss: 1.238625168800354
epoch 19900  training loss: 0.03332090377807617
epoch 19900  clean testing loss: 1.2410049438476562
epoch 20000  training loss: 0.033228594809770584
epoch 20000  clean testing loss: 1.2434368133544922
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
epoch 20100  training loss: 0.033139631152153015
epoch 20100  clean testing loss: 1.2461096048355103
epoch 20200  training loss: 0.03304790332913399
epoch 20200  clean testing loss: 1.2484978437423706
epoch 20300  training loss: 0.03295835852622986
epoch 20300  clean testing loss: 1.250824213027954
epoch 20400  training loss: 0.0328650064766407

 21%|████████████████▎                                                              | 20700/100000 [00:50<03:12, 411.37it/s]
epoch 20500  training loss: 0.032769449055194855
epoch 20500  clean testing loss: 1.2561323642730713
epoch 20600  training loss: 0.0326785072684288
epoch 20600  clean testing loss: 1.258596420288086
epoch 20700  training loss: 0.03258849307894707
epoch 20700  clean testing loss: 1.2611138820648193
Validation loss variation < 1e-6, trained to interpolation, stop
Saving the clean test loss file into log/new_plot/output_dim2_width512_layers3_sin_size500_noise3.00e-01_invop0 ...
